Drug_Name	DRUG_CURIES	Gene_Symbol	GENE_CURIES	Disease_Name	DISEASE_CURIES
Bretylium	PUBCHEM.COMPOUND:2431	SLC6A2	NCBIGene:6530	ventricularfibrillation	MONDO:0000190
Landiolol	PUBCHEM.COMPOUND:114905	ADRB1	NCBIGene:153	ventricularfibrillation	MONDO:0000190
Racecadotril	PUBCHEM.COMPOUND:107751	MME	NCBIGene:4311	acutediarrhea	MONDO:0000257
Calcifediol	PUBCHEM.COMPOUND:5283731	VDR	NCBIGene:7421	hypophosphatemia	MONDO:0000313
Calcitriol	PUBCHEM.COMPOUND:5280453	VDR	NCBIGene:7421	hypophosphatemia	MONDO:0000313
Belinostat	PUBCHEM.COMPOUND:6918638	HDAC1	NCBIGene:3065	matureT-cellandNK-cellnon-Hodgkinlymphoma	MONDO:0000430
Belinostat	PUBCHEM.COMPOUND:6918638	HDAC10	NCBIGene:83933	matureT-cellandNK-cellnon-Hodgkinlymphoma	MONDO:0000430
Belinostat	PUBCHEM.COMPOUND:6918638	HDAC11	NCBIGene:79885	matureT-cellandNK-cellnon-Hodgkinlymphoma	MONDO:0000430
Belinostat	PUBCHEM.COMPOUND:6918638	HDAC2	NCBIGene:3066	matureT-cellandNK-cellnon-Hodgkinlymphoma	MONDO:0000430
Belinostat	PUBCHEM.COMPOUND:6918638	HDAC3	NCBIGene:8841	matureT-cellandNK-cellnon-Hodgkinlymphoma	MONDO:0000430
Belinostat	PUBCHEM.COMPOUND:6918638	HDAC4	NCBIGene:9759	matureT-cellandNK-cellnon-Hodgkinlymphoma	MONDO:0000430
Belinostat	PUBCHEM.COMPOUND:6918638	HDAC5	NCBIGene:10014	matureT-cellandNK-cellnon-Hodgkinlymphoma	MONDO:0000430
Belinostat	PUBCHEM.COMPOUND:6918638	HDAC6	NCBIGene:10013	matureT-cellandNK-cellnon-Hodgkinlymphoma	MONDO:0000430
Belinostat	PUBCHEM.COMPOUND:6918638	HDAC7	NCBIGene:51564	matureT-cellandNK-cellnon-Hodgkinlymphoma	MONDO:0000430
Belinostat	PUBCHEM.COMPOUND:6918638	HDAC8	NCBIGene:55869	matureT-cellandNK-cellnon-Hodgkinlymphoma	MONDO:0000430
Belinostat	PUBCHEM.COMPOUND:6918638	HDAC9	NCBIGene:9734	matureT-cellandNK-cellnon-Hodgkinlymphoma	MONDO:0000430
Forodesine	PUBCHEM.COMPOUND:135409409	PNP	NCBIGene:4860	matureT-cellandNK-cellnon-Hodgkinlymphoma	MONDO:0000430
MOGAMULIZUMAB	CHEMBL.COMPOUND:CHEMBL1743041	CCR4	NCBIGene:1233	matureT-cellandNK-cellnon-Hodgkinlymphoma	MONDO:0000430
Pralatrexate	PUBCHEM.COMPOUND:148121	DHFR	NCBIGene:1719	matureT-cellandNK-cellnon-Hodgkinlymphoma	MONDO:0000430
Romidepsin	PUBCHEM.COMPOUND:5352062	HDAC1	NCBIGene:3065	matureT-cellandNK-cellnon-Hodgkinlymphoma	MONDO:0000430
Romidepsin	PUBCHEM.COMPOUND:5352062	HDAC10	NCBIGene:83933	matureT-cellandNK-cellnon-Hodgkinlymphoma	MONDO:0000430
Romidepsin	PUBCHEM.COMPOUND:5352062	HDAC11	NCBIGene:79885	matureT-cellandNK-cellnon-Hodgkinlymphoma	MONDO:0000430
Romidepsin	PUBCHEM.COMPOUND:5352062	HDAC2	NCBIGene:3066	matureT-cellandNK-cellnon-Hodgkinlymphoma	MONDO:0000430
Romidepsin	PUBCHEM.COMPOUND:5352062	HDAC3	NCBIGene:8841	matureT-cellandNK-cellnon-Hodgkinlymphoma	MONDO:0000430
Romidepsin	PUBCHEM.COMPOUND:5352062	HDAC4	NCBIGene:9759	matureT-cellandNK-cellnon-Hodgkinlymphoma	MONDO:0000430
Romidepsin	PUBCHEM.COMPOUND:5352062	HDAC5	NCBIGene:10014	matureT-cellandNK-cellnon-Hodgkinlymphoma	MONDO:0000430
Romidepsin	PUBCHEM.COMPOUND:5352062	HDAC6	NCBIGene:10013	matureT-cellandNK-cellnon-Hodgkinlymphoma	MONDO:0000430
Romidepsin	PUBCHEM.COMPOUND:5352062	HDAC7	NCBIGene:51564	matureT-cellandNK-cellnon-Hodgkinlymphoma	MONDO:0000430
Romidepsin	PUBCHEM.COMPOUND:5352062	HDAC8	NCBIGene:55869	matureT-cellandNK-cellnon-Hodgkinlymphoma	MONDO:0000430
Romidepsin	PUBCHEM.COMPOUND:5352062	HDAC9	NCBIGene:9734	matureT-cellandNK-cellnon-Hodgkinlymphoma	MONDO:0000430
Tucidinostat	PUBCHEM.COMPOUND:12136798	HDAC1	NCBIGene:3065	matureT-cellandNK-cellnon-Hodgkinlymphoma	MONDO:0000430
Tucidinostat	PUBCHEM.COMPOUND:12136798	HDAC10	NCBIGene:83933	matureT-cellandNK-cellnon-Hodgkinlymphoma	MONDO:0000430
Tucidinostat	PUBCHEM.COMPOUND:12136798	HDAC2	NCBIGene:3066	matureT-cellandNK-cellnon-Hodgkinlymphoma	MONDO:0000430
Tucidinostat	PUBCHEM.COMPOUND:12136798	HDAC3	NCBIGene:8841	matureT-cellandNK-cellnon-Hodgkinlymphoma	MONDO:0000430
Ibrutinib	PUBCHEM.COMPOUND:24821094	BTK	NCBIGene:695	lymphoplasmacyticlymphoma	MONDO:0000432
Zanubrutinib	PUBCHEM.COMPOUND:135565884	BTK	NCBIGene:695	lymphoplasmacyticlymphoma	MONDO:0000432
Iobenguane(131I)	PUBCHEM.COMPOUND:71184	SLC6A2	NCBIGene:6530	paraganglioma	MONDO:0000448
OFATUMUMAB	CHEMBL.COMPOUND:CHEMBL1201836	MS4A1	NCBIGene:931	secondaryprogressivemultiplesclerosis	MONDO:0000450
OCRELIZUMAB	CHEMBL.COMPOUND:CHEMBL2108041	MS4A1	NCBIGene:931	primaryprogressivemultiplesclerosis	MONDO:0000451
Levisoprenaline	PUBCHEM.COMPOUND:443372	ADRB1	NCBIGene:153	atrioventricularblock	MONDO:0000465
Levisoprenaline	PUBCHEM.COMPOUND:443372	ADRB2	NCBIGene:154	atrioventricularblock	MONDO:0000465
Bupropion	PUBCHEM.COMPOUND:444	SLC6A2	NCBIGene:6530	seasonalaffectivedisorder	MONDO:0000694
Bupropion	PUBCHEM.COMPOUND:444	SLC6A3	NCBIGene:6531	seasonalaffectivedisorder	MONDO:0000694
Levisoprenaline	PUBCHEM.COMPOUND:443372	ADRB1	NCBIGene:153	cardiacarrest	MONDO:0000745
Levisoprenaline	PUBCHEM.COMPOUND:443372	ADRB2	NCBIGene:154	cardiacarrest	MONDO:0000745
Dicumarol	PUBCHEM.COMPOUND:54676038	VKORC1	NCBIGene:79001	thromboticdisease	MONDO:0000831
Phenprocoumon	PUBCHEM.COMPOUND:54680692	VKORC1	NCBIGene:79001	thromboticdisease	MONDO:0000831
Warfarin	PUBCHEM.COMPOUND:54678486	VKORC1	NCBIGene:79001	thromboticdisease	MONDO:0000831
Cilastatin	PUBCHEM.COMPOUND:6435415	DPEP1	NCBIGene:1800	endometritis	MONDO:0000918
5-Fluorouracil	PUBCHEM.COMPOUND:3385	TYMS	NCBIGene:7298	smallintestinecancer	MONDO:0000956
Capecitabine	PUBCHEM.COMPOUND:60953	TYMS	NCBIGene:7298	gastriccancer	MONDO:0001056
Docetaxel	PUBCHEM.COMPOUND:148124	TUBB	NCBIGene:203068	gastriccancer	MONDO:0001056
Docetaxel	PUBCHEM.COMPOUND:148124	TUBB1	NCBIGene:81027	gastriccancer	MONDO:0001056
Docetaxel	PUBCHEM.COMPOUND:148124	TUBB2A	NCBIGene:7280	gastriccancer	MONDO:0001056
Docetaxel	PUBCHEM.COMPOUND:148124	TUBB2B	NCBIGene:347733	gastriccancer	MONDO:0001056
Docetaxel	PUBCHEM.COMPOUND:148124	TUBB3	NCBIGene:10381	gastriccancer	MONDO:0001056
Docetaxel	PUBCHEM.COMPOUND:148124	TUBB4A	NCBIGene:10382	gastriccancer	MONDO:0001056
Docetaxel	PUBCHEM.COMPOUND:148124	TUBB4B	NCBIGene:10383	gastriccancer	MONDO:0001056
Docetaxel	PUBCHEM.COMPOUND:148124	TUBB6	NCBIGene:84617	gastriccancer	MONDO:0001056
Docetaxel	PUBCHEM.COMPOUND:148124	TUBB8	NCBIGene:347688	gastriccancer	MONDO:0001056
5-Fluorouracil	PUBCHEM.COMPOUND:3385	TYMS	NCBIGene:7298	gastriccancer	MONDO:0001056
Gimeracil	PUBCHEM.COMPOUND:54679224	DPYD	NCBIGene:1806	gastriccancer	MONDO:0001056
NIVOLUMAB	CHEMBL.COMPOUND:CHEMBL2108738	PDCD1	NCBIGene:5133	gastriccancer	MONDO:0001056
Tegafur/gimeracil/oteracil	PUBCHEM.COMPOUND:54715158	UMPS	NCBIGene:7372	gastriccancer	MONDO:0001056
RAMUCIRUMAB	CHEMBL.COMPOUND:CHEMBL1743062	KDR	NCBIGene:3791	gastriccancer	MONDO:0001056
Tipiracil	PUBCHEM.COMPOUND:6323266	TYMP	NCBIGene:1890	gastriccancer	MONDO:0001056
BUROSUMAB	CHEMBL.COMPOUND:CHEMBL3707326	FGF23	NCBIGene:8074	osteomalacia	MONDO:0001068
Cholecalciferol	PUBCHEM.COMPOUND:5280795	VDR	NCBIGene:7421	osteomalacia	MONDO:0001068
Ergocalciferol	PUBCHEM.COMPOUND:5280793	VDR	NCBIGene:7421	osteomalacia	MONDO:0001068
Cimetidine	PUBCHEM.COMPOUND:2756	HRH2	NCBIGene:3274	gastriculcer	MONDO:0001126
Dexrabeprazole	PUBCHEM.COMPOUND:9906855	ATP4A	NCBIGene:495	gastriculcer	MONDO:0001126
Dexrabeprazole	PUBCHEM.COMPOUND:9906855	ATP4B	NCBIGene:496	gastriculcer	MONDO:0001126
Famotidine	PUBCHEM.COMPOUND:3325	HRH2	NCBIGene:3274	gastriculcer	MONDO:0001126
Lansoprazole	PUBCHEM.COMPOUND:3883	ATP4A	NCBIGene:495	gastriculcer	MONDO:0001126
Lansoprazole	PUBCHEM.COMPOUND:3883	ATP4B	NCBIGene:496	gastriculcer	MONDO:0001126
Mepenzolate	PUBCHEM.COMPOUND:4057	CHRM1	NCBIGene:1128	gastriculcer	MONDO:0001126
Mepenzolate	PUBCHEM.COMPOUND:4057	CHRM3	NCBIGene:1131	gastriculcer	MONDO:0001126
Methantheline	PUBCHEM.COMPOUND:4097	CHRM1	NCBIGene:1128	gastriculcer	MONDO:0001126
Methantheline	PUBCHEM.COMPOUND:4097	CHRM2	NCBIGene:1129	gastriculcer	MONDO:0001126
Methantheline	PUBCHEM.COMPOUND:4097	CHRM3	NCBIGene:1131	gastriculcer	MONDO:0001126
Methantheline	PUBCHEM.COMPOUND:4097	CHRM4	NCBIGene:1132	gastriculcer	MONDO:0001126
Methantheline	PUBCHEM.COMPOUND:4097	CHRM5	NCBIGene:1133	gastriculcer	MONDO:0001126
Nizatidine	PUBCHEM.COMPOUND:3033637	HRH2	NCBIGene:3274	gastriculcer	MONDO:0001126
Methyloctatropinebromide	PUBCHEM.COMPOUND:21867154	CHRM1	NCBIGene:1128	gastriculcer	MONDO:0001126
Methyloctatropinebromide	PUBCHEM.COMPOUND:21867154	CHRM3	NCBIGene:1131	gastriculcer	MONDO:0001126
Omeprazole	PUBCHEM.COMPOUND:4594	ATP4A	NCBIGene:495	gastriculcer	MONDO:0001126
Omeprazole	PUBCHEM.COMPOUND:4594	ATP4B	NCBIGene:496	gastriculcer	MONDO:0001126
Ranitidine	PUBCHEM.COMPOUND:3001055	HRH2	NCBIGene:3274	gastriculcer	MONDO:0001126
Revaprazan	PUBCHEM.COMPOUND:204104	ATP4A	NCBIGene:495	gastriculcer	MONDO:0001126
Revaprazan	PUBCHEM.COMPOUND:204104	ATP4B	NCBIGene:496	gastriculcer	MONDO:0001126
Roxatidineacetate	PUBCHEM.COMPOUND:5105	HRH2	NCBIGene:3274	gastriculcer	MONDO:0001126
Tridihexethyl	PUBCHEM.COMPOUND:20299	CHRM1	NCBIGene:1128	gastriculcer	MONDO:0001126
Tridihexethyl	PUBCHEM.COMPOUND:20299	CHRM3	NCBIGene:1131	gastriculcer	MONDO:0001126
Vonoprazan	PUBCHEM.COMPOUND:15981397	ATP4A	NCBIGene:495	gastriculcer	MONDO:0001126
Vonoprazan	PUBCHEM.COMPOUND:15981397	ATP4B	NCBIGene:496	gastriculcer	MONDO:0001126
Fenoldopam	PUBCHEM.COMPOUND:3341	DRD1	NCBIGene:1812	malignantessentialhypertension	MONDO:0001133
nitroprusside	CHEBI:7596	GUCY1A1	NCBIGene:2982	malignantessentialhypertension	MONDO:0001133
nitroprusside	CHEBI:7596	GUCY1A2	NCBIGene:2977	malignantessentialhypertension	MONDO:0001133
nitroprusside	CHEBI:7596	GUCY1B1	NCBIGene:2983	malignantessentialhypertension	MONDO:0001133
nitroprusside	CHEBI:7596	GUCY1B2	NCBIGene:2974	malignantessentialhypertension	MONDO:0001133
Alacepril	PUBCHEM.COMPOUND:71992	ACE	NCBIGene:1636	essentialhypertension	MONDO:0001134
Bunazosin	PUBCHEM.COMPOUND:2472	ADRA1A	NCBIGene:148	essentialhypertension	MONDO:0001134
Bunazosin	PUBCHEM.COMPOUND:2472	ADRA1B	NCBIGene:147	essentialhypertension	MONDO:0001134
Moxonidine	PUBCHEM.COMPOUND:4810	NISCH	NCBIGene:11188	essentialhypertension	MONDO:0001134
Valrubicin	PUBCHEM.COMPOUND:454216	TOP2A	NCBIGene:7153	urinarybladdercancer	MONDO:0001187
Betamethasone	PUBCHEM.COMPOUND:9782	NR3C1	NCBIGene:2908	acquiredthrombocytopenia	MONDO:0001198
Betamethasoneacetate	PUBCHEM.COMPOUND:443967	NR3C1	NCBIGene:2908	acquiredthrombocytopenia	MONDO:0001198
Cortisoneacetate	PUBCHEM.COMPOUND:5745	NR3C1	NCBIGene:2908	acquiredthrombocytopenia	MONDO:0001198
Dexamethasone	PUBCHEM.COMPOUND:5743	NR3C1	NCBIGene:2908	acquiredthrombocytopenia	MONDO:0001198
Hydrocortisone	PUBCHEM.COMPOUND:5754	NR3C1	NCBIGene:2908	acquiredthrombocytopenia	MONDO:0001198
Hydrocortisoneacetate	PUBCHEM.COMPOUND:5744	NR3C1	NCBIGene:2908	acquiredthrombocytopenia	MONDO:0001198
Methylprednisolone	PUBCHEM.COMPOUND:6741	NR3C1	NCBIGene:2908	acquiredthrombocytopenia	MONDO:0001198
Prednisolone	PUBCHEM.COMPOUND:5755	NR3C1	NCBIGene:2908	acquiredthrombocytopenia	MONDO:0001198
Prednisone	PUBCHEM.COMPOUND:5865	NR3C1	NCBIGene:2908	acquiredthrombocytopenia	MONDO:0001198
Triamcinolone	PUBCHEM.COMPOUND:31307	NR3C1	NCBIGene:2908	acquiredthrombocytopenia	MONDO:0001198
Triamcinoloneacetonide	PUBCHEM.COMPOUND:6436	NR3C1	NCBIGene:2908	acquiredthrombocytopenia	MONDO:0001198
Triamcinolonediacetate	PUBCHEM.COMPOUND:6216	NR3C1	NCBIGene:2908	acquiredthrombocytopenia	MONDO:0001198
Imiquimod	PUBCHEM.COMPOUND:57469	TLR7	NCBIGene:51284	commonwart	MONDO:0001209
Alfacalcidol	PUBCHEM.COMPOUND:5282181	VDR	NCBIGene:7421	hypoparathyroidism	MONDO:0001220
Calcitriol	PUBCHEM.COMPOUND:5280453	VDR	NCBIGene:7421	hypoparathyroidism	MONDO:0001220
Cholecalciferol	PUBCHEM.COMPOUND:5280795	VDR	NCBIGene:7421	hypoparathyroidism	MONDO:0001220
Ergocalciferol	PUBCHEM.COMPOUND:5280793	VDR	NCBIGene:7421	hypoparathyroidism	MONDO:0001220
PARATHYROIDHORMONE	CHEMBL.COMPOUND:CHEMBL2108078	PTH1R	NCBIGene:5745	hypoparathyroidism	MONDO:0001220
Heparin	PUBCHEM.COMPOUND:772	SERPINC1	NCBIGene:462	disseminatedintravascularcoagulation	MONDO:0001243
Fluvoxamine	PUBCHEM.COMPOUND:5324346	SLC6A4	NCBIGene:6532	socialphobia	MONDO:0001247
Paroxetine	PUBCHEM.COMPOUND:43815	SLC6A4	NCBIGene:6532	socialphobia	MONDO:0001247
Sertraline	PUBCHEM.COMPOUND:68617	SLC6A4	NCBIGene:6532	socialphobia	MONDO:0001247
Venlafaxine	PUBCHEM.COMPOUND:5656	SLC6A2	NCBIGene:6530	socialphobia	MONDO:0001247
Venlafaxine	PUBCHEM.COMPOUND:5656	SLC6A4	NCBIGene:6532	socialphobia	MONDO:0001247
Fluocinoloneacetonide	PUBCHEM.COMPOUND:6215	NR3C1	NCBIGene:2908	choroiditis	MONDO:0001280
Bimatoprost	PUBCHEM.COMPOUND:5311027	PTGFR	NCBIGene:5737	hypertrichosisofeyelid	MONDO:0001334
Acipimox	PUBCHEM.COMPOUND:5310993	HCAR2	NCBIGene:338442	familialhyperlipidemia	MONDO:0001336
Bezafibrate	PUBCHEM.COMPOUND:39042	HMGCR	NCBIGene:3156	familialhyperlipidemia	MONDO:0001336
Bezafibrate	PUBCHEM.COMPOUND:39042	PPARA	NCBIGene:5465	familialhyperlipidemia	MONDO:0001336
Clofibrate	PUBCHEM.COMPOUND:2796	PPARA	NCBIGene:5465	familialhyperlipidemia	MONDO:0001336
Dextrothyroxine	PUBCHEM.COMPOUND:8730	THRA	NCBIGene:7067	familialhyperlipidemia	MONDO:0001336
Dextrothyroxine	PUBCHEM.COMPOUND:8730	THRB	NCBIGene:7068	familialhyperlipidemia	MONDO:0001336
Ezetimibe	PUBCHEM.COMPOUND:150311	NPC1L1	NCBIGene:29881	familialhyperlipidemia	MONDO:0001336
Fenofibrate	PUBCHEM.COMPOUND:3339	PPARA	NCBIGene:5465	familialhyperlipidemia	MONDO:0001336
Levothyroxine	PUBCHEM.COMPOUND:5819	THRA	NCBIGene:7067	familialhyperlipidemia	MONDO:0001336
Levothyroxine	PUBCHEM.COMPOUND:5819	THRB	NCBIGene:7068	familialhyperlipidemia	MONDO:0001336
Lovastatin	PUBCHEM.COMPOUND:53232	HMGCR	NCBIGene:3156	familialhyperlipidemia	MONDO:0001336
Nicotinicacid	PUBCHEM.COMPOUND:938	HCAR2	NCBIGene:338442	familialhyperlipidemia	MONDO:0001336
Probucol	PUBCHEM.COMPOUND:4912	ABCA1	NCBIGene:19	familialhyperlipidemia	MONDO:0001336
Tyramine	PUBCHEM.COMPOUND:5610	TAAR1	NCBIGene:134864	familialhyperlipidemia	MONDO:0001336
Betamethasone	PUBCHEM.COMPOUND:9782	NR3C1	NCBIGene:2908	dermatophytosisofgroinandperianalarea	MONDO:0001405
Betamethasonedipropionate	PUBCHEM.COMPOUND:21800	NR3C1	NCBIGene:2908	dermatophytosisofgroinandperianalarea	MONDO:0001405
Cortisoneacetate	PUBCHEM.COMPOUND:5745	NR3C1	NCBIGene:2908	dermatophytosisofgroinandperianalarea	MONDO:0001405
Hydrocortisone	PUBCHEM.COMPOUND:5754	NR3C1	NCBIGene:2908	dermatophytosisofgroinandperianalarea	MONDO:0001405
Ketoconazole	PUBCHEM.COMPOUND:3823	CYP11B1	NCBIGene:1584	dermatophytosisofgroinandperianalarea	MONDO:0001405
Ketoconazole	PUBCHEM.COMPOUND:3823	CYP17A1	NCBIGene:1586	dermatophytosisofgroinandperianalarea	MONDO:0001405
Benzocaine	PUBCHEM.COMPOUND:2337	SCN10A	NCBIGene:6336	tineacorporis	MONDO:0001461
Benzocaine	PUBCHEM.COMPOUND:2337	SCN11A	NCBIGene:11280	tineacorporis	MONDO:0001461
Benzocaine	PUBCHEM.COMPOUND:2337	SCN1A	NCBIGene:6323	tineacorporis	MONDO:0001461
Benzocaine	PUBCHEM.COMPOUND:2337	SCN2A	NCBIGene:6326	tineacorporis	MONDO:0001461
Benzocaine	PUBCHEM.COMPOUND:2337	SCN3A	NCBIGene:6328	tineacorporis	MONDO:0001461
Benzocaine	PUBCHEM.COMPOUND:2337	SCN4A	NCBIGene:6329	tineacorporis	MONDO:0001461
Benzocaine	PUBCHEM.COMPOUND:2337	SCN5A	NCBIGene:6331	tineacorporis	MONDO:0001461
Benzocaine	PUBCHEM.COMPOUND:2337	SCN7A	NCBIGene:6332	tineacorporis	MONDO:0001461
Benzocaine	PUBCHEM.COMPOUND:2337	SCN8A	NCBIGene:6334	tineacorporis	MONDO:0001461
Benzocaine	PUBCHEM.COMPOUND:2337	SCN9A	NCBIGene:6335	tineacorporis	MONDO:0001461
Betamethasone	PUBCHEM.COMPOUND:9782	NR3C1	NCBIGene:2908	tineacorporis	MONDO:0001461
Betamethasonedipropionate	PUBCHEM.COMPOUND:21800	NR3C1	NCBIGene:2908	tineacorporis	MONDO:0001461
Cortisoneacetate	PUBCHEM.COMPOUND:5745	NR3C1	NCBIGene:2908	tineacorporis	MONDO:0001461
Hydrocortisone	PUBCHEM.COMPOUND:5754	NR3C1	NCBIGene:2908	tineacorporis	MONDO:0001461
Ketoconazole	PUBCHEM.COMPOUND:3823	CYP11B1	NCBIGene:1584	tineacorporis	MONDO:0001461
Ketoconazole	PUBCHEM.COMPOUND:3823	CYP17A1	NCBIGene:1586	tineacorporis	MONDO:0001461
Dexamethasone	PUBCHEM.COMPOUND:5743	NR3C1	NCBIGene:2908	punctateepithelialkeratoconjunctivitis	MONDO:0001466
Loteprednoletabonate	PUBCHEM.COMPOUND:444025	NR3C1	NCBIGene:2908	punctateepithelialkeratoconjunctivitis	MONDO:0001466
TEPROTUMUMAB	CHEMBL.COMPOUND:CHEMBL1743079	IGF1R	NCBIGene:3480	endocrineexophthalmos	MONDO:0001509
IbandronicAcid	PUBCHEM.COMPOUND:60852	FDPS	NCBIGene:2224	hypercalcemiadisease	MONDO:0001566
Ribavirin	PUBCHEM.COMPOUND:37542	IMPDH1	NCBIGene:3614	respiratorysyncytialvirusinfectiousdisease	MONDO:0001577
Hydroxychloroquine	PUBCHEM.COMPOUND:3652	TLR7	NCBIGene:51284	Plasmodiumovalemalaria	MONDO:0001601
Hydroxychloroquine	PUBCHEM.COMPOUND:3652	TLR9	ENSEMBL:ENSG00000173366	Plasmodiumovalemalaria	MONDO:0001601
Distigmine	PUBCHEM.COMPOUND:3116	ACHE	NCBIGene:43	acutecystitis	MONDO:0001650
Carmustine	PUBCHEM.COMPOUND:2578	GSR	NCBIGene:2936	braincancer	MONDO:0001657
BISMUTHSUBSALICYLATE	CHEMBL.COMPOUND:CHEMBL1120	PTGS1	NCBIGene:5742	diarrhealdisease	MONDO:0001673
BISMUTHSUBSALICYLATE	CHEMBL.COMPOUND:CHEMBL1120	PTGS2	NCBIGene:5743	diarrhealdisease	MONDO:0001673
Difenoxin	PUBCHEM.COMPOUND:34328	OPRM1	NCBIGene:4988	diarrhealdisease	MONDO:0001673
Diphenoxylate	PUBCHEM.COMPOUND:13505	OPRM1	NCBIGene:4988	diarrhealdisease	MONDO:0001673
Loperamide	PUBCHEM.COMPOUND:3955	OPRM1	NCBIGene:4988	diarrhealdisease	MONDO:0001673
Morphine	PUBCHEM.COMPOUND:5288826	OPRM1	NCBIGene:4988	diarrhealdisease	MONDO:0001673
Telotristatethyl	PUBCHEM.COMPOUND:25181577	TPH1	NCBIGene:7166	diarrhealdisease	MONDO:0001673
Afamelanotide	PUBCHEM.COMPOUND:16197727	MC1R	NCBIGene:4157	erythropoieticprotoporphyria	MONDO:0001676
Betamethasone	PUBCHEM.COMPOUND:9782	NR3C1	NCBIGene:2908	inheritedaplasticanemia	MONDO:0001713
Cortisoneacetate	PUBCHEM.COMPOUND:5745	NR3C1	NCBIGene:2908	inheritedaplasticanemia	MONDO:0001713
Dexamethasone	PUBCHEM.COMPOUND:5743	NR3C1	NCBIGene:2908	inheritedaplasticanemia	MONDO:0001713
Hydrocortisone	PUBCHEM.COMPOUND:5754	NR3C1	NCBIGene:2908	inheritedaplasticanemia	MONDO:0001713
Methylprednisolone	PUBCHEM.COMPOUND:6741	NR3C1	NCBIGene:2908	inheritedaplasticanemia	MONDO:0001713
Oxymetholone	PUBCHEM.COMPOUND:5281034	AR	NCBIGene:367	inheritedaplasticanemia	MONDO:0001713
Prednisolone	PUBCHEM.COMPOUND:5755	NR3C1	NCBIGene:2908	inheritedaplasticanemia	MONDO:0001713
Prednisone	PUBCHEM.COMPOUND:5865	NR3C1	NCBIGene:2908	inheritedaplasticanemia	MONDO:0001713
Triamcinolone	PUBCHEM.COMPOUND:31307	NR3C1	NCBIGene:2908	inheritedaplasticanemia	MONDO:0001713
Triamcinolonediacetate	PUBCHEM.COMPOUND:6216	NR3C1	NCBIGene:2908	inheritedaplasticanemia	MONDO:0001713
Everolimus	PUBCHEM.COMPOUND:6442177	FKBP1A	NCBIGene:2280	tuberoussclerosis	MONDO:0001734
Sirolimus	PUBCHEM.COMPOUND:5284616	FKBP1A	NCBIGene:2280	tuberoussclerosis	MONDO:0001734
Alfacalcidol	PUBCHEM.COMPOUND:5282181	VDR	NCBIGene:7421	hyperparathyroidism	MONDO:0001741
Acetazolamide	PUBCHEM.COMPOUND:1986	CA1	NCBIGene:759	angle-closureglaucoma	MONDO:0001744
