Disease_Curie	Disease_Name	Gene_Curie	Gene_Name
ORPHANET:171629	Autosomal recessive spastic paraplegia type 35	ENSEMBL:ENSG00000103089	fatty acid 2-hydroxylase
ORPHANET:357	NON RARE IN EUROPE: Gilbert syndrome	ENSEMBL:ENSG00000241635	UDP glucuronosyltransferase family 1 member A1
ORPHANET:1727	22q11.2 duplication syndrome	ENSEMBL:ENSG00000184058	T-box transcription factor 1
ORPHANET:169079	Cernunnos-XLF deficiency	ENSEMBL:ENSG00000187736	non-homologous end joining factor 1
ORPHANET:169100	Immunodeficiency due to CD25 deficiency	ENSEMBL:ENSG00000134460	interleukin 2 receptor subunit alpha
ORPHANET:169095	Severe combined immunodeficiency due to FOXN1 deficiency	ENSEMBL:ENSG00000109101	forkhead box N1
ORPHANET:169082	Combined immunodeficiency due to CD3gamma deficiency	ENSEMBL:ENSG00000160654	CD3 gamma subunit of T-cell receptor complex
ORPHANET:169085	Susceptibility to respiratory infections associated with CD8alpha chain mutation	ENSEMBL:ENSG00000153563	CD8a molecule
ORPHANET:168829	Primary peritoneal carcinoma	ENSEMBL:ENSG00000012048	BRCA1 DNA repair associated
ORPHANET:753	46,XY disorder of sex development due to 5-alpha-reductase 2 deficiency	ENSEMBL:ENSG00000277893	steroid 5 alpha-reductase 2
ORPHANET:868	Triose phosphate-isomerase deficiency	ENSEMBL:ENSG00000111669	triosephosphate isomerase 1
ORPHANET:218	Darier disease	ENSEMBL:ENSG00000174437	ATPase sarcoplasmic/endoplasmic reticulum Ca2+ transporting 2
ORPHANET:168796	Heart-hand syndrome, Slovenian type	ENSEMBL:ENSG00000160789	lamin A/C
ORPHANET:168953	Myeloid/lymphoid neoplasm associated with FGFR1 rearrangement	ENSEMBL:ENSG00000077782	fibroblast growth factor receptor 1
ORPHANET:168950	Myeloid/lymphoid neoplasm associated with PDGFRB rearrangement	ENSEMBL:ENSG00000113721	platelet derived growth factor receptor beta
ORPHANET:168947	Myeloid/lymphoid neoplasm associated with PDGFRA rearrangement	ENSEMBL:ENSG00000134853	platelet derived growth factor receptor alpha
ORPHANET:169154	T-B+ severe combined immunodeficiency due to IL-7Ralpha deficiency	ENSEMBL:ENSG00000168685	interleukin 7 receptor
ORPHANET:169157	T-B+ severe combined immunodeficiency due to CD45 deficiency	ENSEMBL:ENSG00000081237	protein tyrosine phosphatase receptor type C
ORPHANET:1947	Progressive epilepsy-intellectual disability syndrome, Finnish type	ENSEMBL:ENSG00000182372	CLN8 transmembrane ER and ERGIC protein
ORPHANET:596	X-linked centronuclear myopathy	ENSEMBL:ENSG00000171100	myotubularin 1
ORPHANET:464	Incontinentia pigmenti	ENSEMBL:ENSG00000269335	inhibitor of nuclear factor kappa B kinase regulatory subunit gamma
ORPHANET:56	Alkaptonuria	ENSEMBL:ENSG00000113924	homogentisate 1,2-dioxygenase
ORPHANET:1059	Blue rubber bleb nevus	ENSEMBL:ENSG00000120156	TEK receptor tyrosine kinase
ORPHANET:22	Succinic semialdehyde dehydrogenase deficiency	ENSEMBL:ENSG00000112294	aldehyde dehydrogenase 5 family member A1
ORPHANET:29	Mevalonic aciduria	ENSEMBL:ENSG00000110921	mevalonate kinase
ORPHANET:245	Nager syndrome	ENSEMBL:ENSG00000143368	splicing factor 3b subunit 4
ORPHANET:30	Hereditary orotic aciduria	ENSEMBL:ENSG00000114491	uridine monophosphate synthetase
ORPHANET:915	Aarskog-Scott syndrome	ENSEMBL:ENSG00000102302	FYVE, RhoGEF and PH domain containing 1
ORPHANET:2614	Nail-patella syndrome	ENSEMBL:ENSG00000136944	LIM homeobox transcription factor 1 beta
ORPHANET:33	Isovaleric acidemia	ENSEMBL:ENSG00000128928	isovaleryl-CoA dehydrogenase
ORPHANET:168615	Hereditary persistence of alpha-fetoprotein	ENSEMBL:ENSG00000081051	alpha fetoprotein
ORPHANET:168612	Congenital deficiency in alpha-fetoprotein	ENSEMBL:ENSG00000081051	alpha fetoprotein
ORPHANET:1452	Cleidocranial dysplasia	ENSEMBL:ENSG00000124813	RUNX family transcription factor 2
ORPHANET:168624	Familial scaphocephaly syndrome, McGillivray type	ENSEMBL:ENSG00000066468	fibroblast growth factor receptor 2
ORPHANET:193	Cohen syndrome	ENSEMBL:ENSG00000132549	vacuolar protein sorting 13 homolog B
ORPHANET:168583	Hereditary North American Indian childhood cirrhosis	ENSEMBL:ENSG00000141076	UTP4 small subunit processome component
ORPHANET:168577	Hereditary cryohydrocytosis with reduced stomatin	ENSEMBL:ENSG00000117394	solute carrier family 2 member 1
ORPHANET:168593	Sudden infant death-dysgenesis of the testes syndrome	ENSEMBL:ENSG00000189241	TSPY like 1
ORPHANET:168601	Congenital enteropathy due to enteropeptidase deficiency	ENSEMBL:ENSG00000154646	transmembrane serine protease 15
ORPHANET:168598	Brain demyelination due to methionine adenosyltransferase deficiency	ENSEMBL:ENSG00000151224	methionine adenosyltransferase 1A
ORPHANET:168606	Seborrhea-like dermatitis with psoriasiform elements	ENSEMBL:ENSG00000141579	zinc finger protein 750
ORPHANET:1154	Arthrogryposis-oculomotor limitation-electroretinal anomalies syndrome	ENSEMBL:ENSG00000154864	piezo type mechanosensitive ion channel component 2
ORPHANET:168558	46,XY disorder of sex development-adrenal insufficiency due to CYP11A1 deficiency	ENSEMBL:ENSG00000140459	cytochrome P450 family 11 subfamily A member 1
ORPHANET:168563	46,XY gonadal dysgenesis-motor and sensory neuropathy syndrome	ENSEMBL:ENSG00000139549	desert hedgehog signaling molecule
ORPHANET:168566	Fatal mitochondrial disease due to combined oxidative phosphorylation defect type 3	ENSEMBL:ENSG00000123297	Ts translation elongation factor, mitochondrial
ORPHANET:1310	Caffey disease	ENSEMBL:ENSG00000108821	collagen type I alpha 1 chain
ORPHANET:168569	H syndrome	ENSEMBL:ENSG00000198246	solute carrier family 29 member 3
ORPHANET:168572	Native American myopathy	ENSEMBL:ENSG00000185482	SH3 and cysteine rich domain 3
ORPHANET:125	Bloom syndrome	ENSEMBL:ENSG00000197299	BLM RecQ like helicase
ORPHANET:90	Argininemia	ENSEMBL:ENSG00000118520	arginase 1
ORPHANET:168454	Spondyloepimetaphyseal dysplasia, Geneviève type	ENSEMBL:ENSG00000095380	N-acetylneuraminate synthase
ORPHANET:246	Postaxial acrofacial dysostosis	ENSEMBL:ENSG00000102967	dihydroorotate dehydrogenase (quinone)
ORPHANET:1764	Familial dysautonomia	ENSEMBL:ENSG00000070061	elongator complex protein 1
ORPHANET:239	Dyggve-Melchior-Clausen disease	ENSEMBL:ENSG00000141627	dymeclin
ORPHANET:395	Homocystinuria due to methylene tetrahydrofolate reductase deficiency	ENSEMBL:ENSG00000177000	methylenetetrahydrofolate reductase
ORPHANET:147	Carbamoyl-phosphate synthetase 1 deficiency	ENSEMBL:ENSG00000021826	carbamoyl-phosphate synthase 1
ORPHANET:23	Argininosuccinic aciduria	ENSEMBL:ENSG00000126522	argininosuccinate lyase
ORPHANET:226	Dihydropteridine reductase deficiency	ENSEMBL:ENSG00000151552	quinoid dihydropteridine reductase
ORPHANET:1496	Corpus callosum agenesis-neuronopathy syndrome	ENSEMBL:ENSG00000140199	solute carrier family 12 member 6
ORPHANET:2118	Hawkinsinuria	ENSEMBL:ENSG00000158104	4-hydroxyphenylpyruvate dioxygenase
ORPHANET:351	Galactosialidosis	ENSEMBL:ENSG00000064601	cathepsin A
ORPHANET:1933	Mitochondrial DNA depletion syndrome, encephalomyopathic form with methylmalonic aciduria	ENSEMBL:ENSG00000136143	succinate-CoA ligase ADP-forming subunit beta
ORPHANET:1880	Ebstein malformation of the tricuspid valve	ENSEMBL:ENSG00000092054	myosin heavy chain 7
ORPHANET:2635	Metatropic dysplasia	ENSEMBL:ENSG00000111199	transient receptor potential cation channel subfamily V member 4
ORPHANET:606	Proximal myotonic myopathy	ENSEMBL:ENSG00000169714	CCHC-type zinc finger nucleic acid binding protein
ORPHANET:2785	Osteopetrosis with renal tubular acidosis	ENSEMBL:ENSG00000104267	carbonic anhydrase 2
ORPHANET:2746	Opsismodysplasia	ENSEMBL:ENSG00000165458	inositol polyphosphate phosphatase like 1
ORPHANET:2971	Peroxisomal acyl-CoA oxidase deficiency	ENSEMBL:ENSG00000161533	acyl-CoA oxidase 1
ORPHANET:2970	Prune belly syndrome	ENSEMBL:ENSG00000133019	cholinergic receptor muscarinic 3
ORPHANET:2903	Familial spontaneous pneumothorax	ENSEMBL:ENSG00000154803	folliculin
ORPHANET:2901	Neuralgic amyotrophy	ENSEMBL:ENSG00000184640	septin 9
ORPHANET:718	Isolated Pierre Robin syndrome	ENSEMBL:ENSG00000125398	SRY-box transcription factor 9
ORPHANET:3071	Costello syndrome	ENSEMBL:ENSG00000174775	HRas proto-oncogene, GTPase
ORPHANET:763	Pycnodysostosis	ENSEMBL:ENSG00000143387	cathepsin K
ORPHANET:469	Hereditary fructose intolerance	ENSEMBL:ENSG00000136872	aldolase, fructose-bisphosphate B
ORPHANET:2308	Jacobsen syndrome	ENSEMBL:ENSG00000151702	Fli-1 proto-oncogene, ETS transcription factor
ORPHANET:2253	Foveal hypoplasia-presenile cataract syndrome	ENSEMBL:ENSG00000007372	paired box 6
ORPHANET:180188	Isolated congenital breast hypoplasia/aplasia	ENSEMBL:ENSG00000142949	protein tyrosine phosphatase receptor type F
ORPHANET:2300	Multiple intestinal atresia	ENSEMBL:ENSG00000068724	tetratricopeptide repeat domain 7A
ORPHANET:2377	Laurence-Moon syndrome	ENSEMBL:ENSG00000032444	patatin like phospholipase domain containing 6
ORPHANET:2466	MASA syndrome	ENSEMBL:ENSG00000198910	L1 cell adhesion molecule
ORPHANET:560	Marshall syndrome	ENSEMBL:ENSG00000060718	collagen type XI alpha 1 chain
ORPHANET:179494	Obesity due to leptin receptor gene deficiency	ENSEMBL:ENSG00000116678	leptin receptor
ORPHANET:816	Sjögren-Larsson syndrome	ENSEMBL:ENSG00000072210	aldehyde dehydrogenase 3 family member A2
ORPHANET:3205	Sturge-Weber syndrome	ENSEMBL:ENSG00000156052	G protein subunit alpha q
ORPHANET:3320	Thrombocytopenia-absent radius syndrome	ENSEMBL:ENSG00000265241	RNA binding motif protein 8A
ORPHANET:887	VACTERL/VATER association	ENSEMBL:ENSG00000128714	homeobox D13
ORPHANET:909	Cerebrotendinous xanthomatosis	ENSEMBL:ENSG00000135929	cytochrome P450 family 27 subfamily A member 1
ORPHANET:1422	Chondrodysplasia-disorder of sex development syndrome	ENSEMBL:ENSG00000054392	hedgehog acyltransferase
ORPHANET:178461	X-linked myopathy with postural muscle atrophy	ENSEMBL:ENSG00000022267	four and a half LIM domains 1
ORPHANET:178464	Hereditary myopathy with early respiratory failure	ENSEMBL:ENSG00000155657	titin
ORPHANET:178396	Hemorrhagic disease due to alpha-1-antitrypsin Pittsburgh mutation	ENSEMBL:ENSG00000197249	serpin family A member 1
ORPHANET:178400	Distal myopathy with anterior tibial onset	ENSEMBL:ENSG00000135636	dysferlin
ORPHANET:178389	Osteopetrosis-hypogammaglobulinemia syndrome	ENSEMBL:ENSG00000141655	TNF receptor superfamily member 11a
ORPHANET:62	Alpha-sarcoglycan-related limb-girdle muscular dystrophy R3	ENSEMBL:ENSG00000108823	sarcoglycan alpha
ORPHANET:178364	Syndromic microphthalmia type 5	ENSEMBL:ENSG00000165588	orthodenticle homeobox 2
ORPHANET:178377	Osteosclerosis-developmental delay-craniosynostosis syndrome	ENSEMBL:ENSG00000162337	LDL receptor related protein 5
ORPHANET:348	Fructose-1,6-bisphosphatase deficiency	ENSEMBL:ENSG00000165140	fructose-bisphosphatase 1
ORPHANET:178345	Aromatase excess syndrome	ENSEMBL:ENSG00000137869	cytochrome P450 family 19 subfamily A member 1
ORPHANET:178509	Perry syndrome	ENSEMBL:ENSG00000204843	dynactin subunit 1
ORPHANET:178506	Brain calcification, Rajab type	ENSEMBL:ENSG00000116120	phenylalanyl-tRNA synthetase subunit beta
ORPHANET:177926	Bleeding disorder in hemophilia A carriers	ENSEMBL:ENSG00000185010	coagulation factor VIII
ORPHANET:177929	Bleeding disorder in hemophilia B carriers	ENSEMBL:ENSG00000101981	coagulation factor IX
ORPHANET:177907	Prader-Willi syndrome due to translocation	ENSEMBL:ENSG00000128739	small nuclear ribonucleoprotein polypeptide N
ORPHANET:178333	Åland Islands eye disease	ENSEMBL:ENSG00000102001	calcium voltage-gated channel subunit alpha1 F
ORPHANET:362	NON RARE IN EUROPE: Glucose-6-phosphate-dehydrogenase deficiency	ENSEMBL:ENSG00000160211	glucose-6-phosphate dehydrogenase
ORPHANET:760	Purine nucleoside phosphorylase deficiency	ENSEMBL:ENSG00000198805	purine nucleoside phosphorylase
ORPHANET:270	Oculopharyngeal muscular dystrophy	ENSEMBL:ENSG00000100836	poly(A) binding protein nuclear 1
ORPHANET:178307	Reticulate acropigmentation of Kitamura	ENSEMBL:ENSG00000137845	ADAM metallopeptidase domain 10
ORPHANET:178145	Moderate multiminicore disease with hand involvement	ENSEMBL:ENSG00000196218	ryanodine receptor 1
ORPHANET:713	Glycogen storage disease due to phosphoglycerate kinase 1 deficiency	ENSEMBL:ENSG00000102144	phosphoglycerate kinase 1
ORPHANET:57	Glycogen storage disease due to aldolase A deficiency	ENSEMBL:ENSG00000149925	aldolase, fructose-bisphosphate A
ORPHANET:2334	Autosomal dominant keratitis	ENSEMBL:ENSG00000007372	paired box 6
ORPHANET:46	Adenylosuccinate lyase deficiency	ENSEMBL:ENSG00000239900	adenylosuccinate lyase
ORPHANET:3166	Sialuria	ENSEMBL:ENSG00000159921	glucosamine (UDP-N-acetyl)-2-epimerase/N-acetylmannosamine kinase
ORPHANET:134	Beta-ketothiolase deficiency	ENSEMBL:ENSG00000075239	acetyl-CoA acetyltransferase 1
ORPHANET:171706	Short stature-delayed bone age due to thyroid hormone metabolism deficiency	ENSEMBL:ENSG00000187742	SECIS binding protein 2
ORPHANET:171680	Lissencephaly due to TUBA1A mutation	ENSEMBL:ENSG00000167552	tubulin alpha 1a
ORPHANET:171690	Metabolic myopathy due to lactate transporter defect	ENSEMBL:ENSG00000155380	solute carrier family 16 member 1
ORPHANET:171863	Autosomal dominant spastic paraplegia type 42	ENSEMBL:ENSG00000169359	solute carrier family 33 member 1
ORPHANET:171871	Renal pseudohypoaldosteronism type 1	ENSEMBL:ENSG00000151623	nuclear receptor subfamily 3 group C member 2
ORPHANET:171866	Spondyloepimetaphyseal dysplasia, aggrecan type	ENSEMBL:ENSG00000157766	aggrecan
ORPHANET:171829	6q16 microdeletion syndrome	ENSEMBL:ENSG00000112246	SIM bHLH transcription factor 1
ORPHANET:171848	Polyneuropathy-hearing loss-ataxia-retinitis pigmentosa-cataract syndrome	ENSEMBL:ENSG00000100997	abhydrolase domain containing 12, lysophospholipase
ORPHANET:200418	Immunodeficiency with factor I anomaly	ENSEMBL:ENSG00000205403	complement factor I
ORPHANET:200421	Immunodeficiency with factor H anomaly	ENSEMBL:ENSG00000000971	complement factor H
ORPHANET:98	Autosomal recessive spastic ataxia of Charlevoix-Saguenay	ENSEMBL:ENSG00000151835	sacsin molecular chaperone
ORPHANET:330	Congenital factor XII deficiency	ENSEMBL:ENSG00000131187	coagulation factor XII
ORPHANET:199340	Muscular dystrophy, Selcen type	ENSEMBL:ENSG00000151929	BAG cochaperone 3
ORPHANET:199337	Pancreatic insufficiency-anemia-hyperostosis syndrome	ENSEMBL:ENSG00000131055	cytochrome c oxidase subunit 4I2
ORPHANET:234	Dubin-Johnson syndrome	ENSEMBL:ENSG00000023839	ATP binding cassette subfamily C member 2
ORPHANET:199348	Thiamine-responsive encephalopathy	ENSEMBL:ENSG00000135917	solute carrier family 19 member 3
ORPHANET:199343	EAST syndrome	ENSEMBL:ENSG00000177807	potassium inwardly rectifying channel subfamily J member 10
ORPHANET:199326	Isolated autosomal dominant hypomagnesemia, Glaudemans type	ENSEMBL:ENSG00000111262	potassium voltage-gated channel subfamily A member 1
