Drug_Name	DRUG_CURIES	Gene_Symbol	GENE_CURIES	Disease_Name	DISEASE_CURIES
Landiolol	 PUBCHEM.COMPOUND:114905	ADRB1	 NCBIGene:153	ventricular fibrillation	MONDO:0000190
Racecadotril	 PUBCHEM.COMPOUND:107751	MME	 NCBIGene:4311	acute diarrhea	MONDO:0000257
Calcifediol	 PUBCHEM.COMPOUND:5283731	VDR	 NCBIGene:7421	hypophosphatemia	MONDO:0000313
Calcitriol	 PUBCHEM.COMPOUND:5280453	VDR	 NCBIGene:7421	hypophosphatemia	MONDO:0000313
Belinostat	 PUBCHEM.COMPOUND:6918638	HDAC1	 NCBIGene:3065	mature T-cell and NK-cell non-Hodgkin lymphoma	MONDO:0000430
Belinostat	 PUBCHEM.COMPOUND:6918638	HDAC10	 NCBIGene:83933	mature T-cell and NK-cell non-Hodgkin lymphoma	MONDO:0000430
Belinostat	 PUBCHEM.COMPOUND:6918638	HDAC11	 NCBIGene:79885	mature T-cell and NK-cell non-Hodgkin lymphoma	MONDO:0000430
Belinostat	 PUBCHEM.COMPOUND:6918638	HDAC2	 NCBIGene:3066	mature T-cell and NK-cell non-Hodgkin lymphoma	MONDO:0000430
Belinostat	 PUBCHEM.COMPOUND:6918638	HDAC3	 NCBIGene:8841	mature T-cell and NK-cell non-Hodgkin lymphoma	MONDO:0000430
Belinostat	 PUBCHEM.COMPOUND:6918638	HDAC4	 NCBIGene:9759	mature T-cell and NK-cell non-Hodgkin lymphoma	MONDO:0000430
Belinostat	 PUBCHEM.COMPOUND:6918638	HDAC5	 NCBIGene:10014	mature T-cell and NK-cell non-Hodgkin lymphoma	MONDO:0000430
Belinostat	 PUBCHEM.COMPOUND:6918638	HDAC6	 NCBIGene:10013	mature T-cell and NK-cell non-Hodgkin lymphoma	MONDO:0000430
Belinostat	 PUBCHEM.COMPOUND:6918638	HDAC7	 NCBIGene:51564	mature T-cell and NK-cell non-Hodgkin lymphoma	MONDO:0000430
Belinostat	 PUBCHEM.COMPOUND:6918638	HDAC8	 NCBIGene:55869	mature T-cell and NK-cell non-Hodgkin lymphoma	MONDO:0000430
Belinostat	 PUBCHEM.COMPOUND:6918638	HDAC9	 NCBIGene:9734	mature T-cell and NK-cell non-Hodgkin lymphoma	MONDO:0000430
Forodesine	 PUBCHEM.COMPOUND:135409409	PNP	 NCBIGene:4860	mature T-cell and NK-cell non-Hodgkin lymphoma	MONDO:0000430
MOGAMULIZUMAB	 CHEMBL.COMPOUND:CHEMBL1743041	CCR4	 NCBIGene:1233	mature T-cell and NK-cell non-Hodgkin lymphoma	MONDO:0000430
Pralatrexate	 PUBCHEM.COMPOUND:148121	DHFR	 NCBIGene:1719	mature T-cell and NK-cell non-Hodgkin lymphoma	MONDO:0000430
Romidepsin	 PUBCHEM.COMPOUND:5352062	HDAC1	 NCBIGene:3065	mature T-cell and NK-cell non-Hodgkin lymphoma	MONDO:0000430
Romidepsin	 PUBCHEM.COMPOUND:5352062	HDAC10	 NCBIGene:83933	mature T-cell and NK-cell non-Hodgkin lymphoma	MONDO:0000430
Romidepsin	 PUBCHEM.COMPOUND:5352062	HDAC11	 NCBIGene:79885	mature T-cell and NK-cell non-Hodgkin lymphoma	MONDO:0000430
Romidepsin	 PUBCHEM.COMPOUND:5352062	HDAC2	 NCBIGene:3066	mature T-cell and NK-cell non-Hodgkin lymphoma	MONDO:0000430
Romidepsin	 PUBCHEM.COMPOUND:5352062	HDAC3	 NCBIGene:8841	mature T-cell and NK-cell non-Hodgkin lymphoma	MONDO:0000430
Romidepsin	 PUBCHEM.COMPOUND:5352062	HDAC4	 NCBIGene:9759	mature T-cell and NK-cell non-Hodgkin lymphoma	MONDO:0000430
Romidepsin	 PUBCHEM.COMPOUND:5352062	HDAC5	 NCBIGene:10014	mature T-cell and NK-cell non-Hodgkin lymphoma	MONDO:0000430
Romidepsin	 PUBCHEM.COMPOUND:5352062	HDAC6	 NCBIGene:10013	mature T-cell and NK-cell non-Hodgkin lymphoma	MONDO:0000430
Romidepsin	 PUBCHEM.COMPOUND:5352062	HDAC7	 NCBIGene:51564	mature T-cell and NK-cell non-Hodgkin lymphoma	MONDO:0000430
Romidepsin	 PUBCHEM.COMPOUND:5352062	HDAC8	 NCBIGene:55869	mature T-cell and NK-cell non-Hodgkin lymphoma	MONDO:0000430
Romidepsin	 PUBCHEM.COMPOUND:5352062	HDAC9	 NCBIGene:9734	mature T-cell and NK-cell non-Hodgkin lymphoma	MONDO:0000430
Tucidinostat	 PUBCHEM.COMPOUND:12136798	HDAC1	 NCBIGene:3065	mature T-cell and NK-cell non-Hodgkin lymphoma	MONDO:0000430
Tucidinostat	 PUBCHEM.COMPOUND:12136798	HDAC10	 NCBIGene:83933	mature T-cell and NK-cell non-Hodgkin lymphoma	MONDO:0000430
Tucidinostat	 PUBCHEM.COMPOUND:12136798	HDAC2	 NCBIGene:3066	mature T-cell and NK-cell non-Hodgkin lymphoma	MONDO:0000430
Tucidinostat	 PUBCHEM.COMPOUND:12136798	HDAC3	 NCBIGene:8841	mature T-cell and NK-cell non-Hodgkin lymphoma	MONDO:0000430
Ibrutinib	 PUBCHEM.COMPOUND:24821094	BTK	 NCBIGene:695	lymphoplasmacytic lymphoma	MONDO:0000432
Zanubrutinib	 PUBCHEM.COMPOUND:135565884	BTK	 NCBIGene:695	lymphoplasmacytic lymphoma	MONDO:0000432
Iobenguane (131I)	 PUBCHEM.COMPOUND:71184	SLC6A2	 NCBIGene:6530	paraganglioma	MONDO:0000448
OFATUMUMAB	 CHEMBL.COMPOUND:CHEMBL1201836	MS4A1	 NCBIGene:931	secondary progressive multiple sclerosis	MONDO:0000450
OCRELIZUMAB	 CHEMBL.COMPOUND:CHEMBL2108041	MS4A1	 NCBIGene:931	primary progressive multiple sclerosis	MONDO:0000451
Levisoprenaline	 PUBCHEM.COMPOUND:443372	ADRB1	 NCBIGene:153	atrioventricular block	MONDO:0000465
Levisoprenaline	 PUBCHEM.COMPOUND:443372	ADRB2	 NCBIGene:154	atrioventricular block	MONDO:0000465
Bupropion	 PUBCHEM.COMPOUND:444	SLC6A2	 NCBIGene:6530	seasonal affective disorder	MONDO:0000694
Bupropion	 PUBCHEM.COMPOUND:444	SLC6A3	 NCBIGene:6531	seasonal affective disorder	MONDO:0000694
Levisoprenaline	 PUBCHEM.COMPOUND:443372	ADRB1	 NCBIGene:153	cardiac arrest	MONDO:0000745
Levisoprenaline	 PUBCHEM.COMPOUND:443372	ADRB2	 NCBIGene:154	cardiac arrest	MONDO:0000745
Dicumarol	 PUBCHEM.COMPOUND:54676038	VKORC1	 NCBIGene:79001	thrombotic disease	MONDO:0000831
Phenprocoumon	 PUBCHEM.COMPOUND:54680692	VKORC1	 NCBIGene:79001	thrombotic disease	MONDO:0000831
Warfarin	 PUBCHEM.COMPOUND:54678486	VKORC1	 NCBIGene:79001	thrombotic disease	MONDO:0000831
Cilastatin	 PUBCHEM.COMPOUND:6435415	DPEP1	 NCBIGene:1800	endometritis	MONDO:0000918
5-Fluorouracil	 PUBCHEM.COMPOUND:3385	TYMS	 NCBIGene:7298	small intestine cancer	MONDO:0000956
Capecitabine	 PUBCHEM.COMPOUND:60953	TYMS	 NCBIGene:7298	gastric cancer	MONDO:0001056
Docetaxel	 PUBCHEM.COMPOUND:148124	TUBB	 NCBIGene:203068	gastric cancer	MONDO:0001056
Docetaxel	 PUBCHEM.COMPOUND:148124	TUBB1	 NCBIGene:81027	gastric cancer	MONDO:0001056
Docetaxel	 PUBCHEM.COMPOUND:148124	TUBB2A	 NCBIGene:7280	gastric cancer	MONDO:0001056
Docetaxel	 PUBCHEM.COMPOUND:148124	TUBB2B	 NCBIGene:347733	gastric cancer	MONDO:0001056
Docetaxel	 PUBCHEM.COMPOUND:148124	TUBB3	 NCBIGene:10381	gastric cancer	MONDO:0001056
Docetaxel	 PUBCHEM.COMPOUND:148124	TUBB4A	 NCBIGene:10382	gastric cancer	MONDO:0001056
Docetaxel	 PUBCHEM.COMPOUND:148124	TUBB4B	 NCBIGene:10383	gastric cancer	MONDO:0001056
Docetaxel	 PUBCHEM.COMPOUND:148124	TUBB6	 NCBIGene:84617	gastric cancer	MONDO:0001056
Docetaxel	 PUBCHEM.COMPOUND:148124	TUBB8	 NCBIGene:347688	gastric cancer	MONDO:0001056
5-Fluorouracil	 PUBCHEM.COMPOUND:3385	TYMS	 NCBIGene:7298	gastric cancer	MONDO:0001056
Gimeracil	 PUBCHEM.COMPOUND:54679224	DPYD	 NCBIGene:1806	gastric cancer	MONDO:0001056
NIVOLUMAB	 CHEMBL.COMPOUND:CHEMBL2108738	PDCD1	 NCBIGene:5133	gastric cancer	MONDO:0001056
Tegafur/gimeracil/oteracil	 PUBCHEM.COMPOUND:54715158	UMPS	 NCBIGene:7372	gastric cancer	MONDO:0001056
RAMUCIRUMAB	 CHEMBL.COMPOUND:CHEMBL1743062	KDR	 NCBIGene:3791	gastric cancer	MONDO:0001056
Tipiracil	 PUBCHEM.COMPOUND:6323266	TYMP	 NCBIGene:1890	gastric cancer	MONDO:0001056
BUROSUMAB	 CHEMBL.COMPOUND:CHEMBL3707326	FGF23	 NCBIGene:8074	osteomalacia	MONDO:0001068
Cholecalciferol	 PUBCHEM.COMPOUND:5280795	VDR	 NCBIGene:7421	osteomalacia	MONDO:0001068
Ergocalciferol	 PUBCHEM.COMPOUND:5280793	VDR	 NCBIGene:7421	osteomalacia	MONDO:0001068
Cimetidine	 PUBCHEM.COMPOUND:2756	HRH2	 NCBIGene:3274	gastric ulcer	MONDO:0001126
Dexrabeprazole	 PUBCHEM.COMPOUND:9906855	ATP4A	 NCBIGene:495	gastric ulcer	MONDO:0001126
Dexrabeprazole	 PUBCHEM.COMPOUND:9906855	ATP4B	 NCBIGene:496	gastric ulcer	MONDO:0001126
Famotidine	 PUBCHEM.COMPOUND:3325	HRH2	 NCBIGene:3274	gastric ulcer	MONDO:0001126
Lansoprazole	 PUBCHEM.COMPOUND:3883	ATP4A	 NCBIGene:495	gastric ulcer	MONDO:0001126
Lansoprazole	 PUBCHEM.COMPOUND:3883	ATP4B	 NCBIGene:496	gastric ulcer	MONDO:0001126
Mepenzolate	 PUBCHEM.COMPOUND:4057	CHRM1	 NCBIGene:1128	gastric ulcer	MONDO:0001126
Mepenzolate	 PUBCHEM.COMPOUND:4057	CHRM3	 NCBIGene:1131	gastric ulcer	MONDO:0001126
Methantheline	 PUBCHEM.COMPOUND:4097	CHRM1	 NCBIGene:1128	gastric ulcer	MONDO:0001126
Methantheline	 PUBCHEM.COMPOUND:4097	CHRM2	 NCBIGene:1129	gastric ulcer	MONDO:0001126
Methantheline	 PUBCHEM.COMPOUND:4097	CHRM3	 NCBIGene:1131	gastric ulcer	MONDO:0001126
Methantheline	 PUBCHEM.COMPOUND:4097	CHRM4	 NCBIGene:1132	gastric ulcer	MONDO:0001126
Methantheline	 PUBCHEM.COMPOUND:4097	CHRM5	 NCBIGene:1133	gastric ulcer	MONDO:0001126
Nizatidine	 PUBCHEM.COMPOUND:3033637	HRH2	 NCBIGene:3274	gastric ulcer	MONDO:0001126
Methyloctatropine bromide	 PUBCHEM.COMPOUND:21867154	CHRM1	 NCBIGene:1128	gastric ulcer	MONDO:0001126
Methyloctatropine bromide	 PUBCHEM.COMPOUND:21867154	CHRM3	 NCBIGene:1131	gastric ulcer	MONDO:0001126
Omeprazole	 PUBCHEM.COMPOUND:4594	ATP4A	 NCBIGene:495	gastric ulcer	MONDO:0001126
Omeprazole	 PUBCHEM.COMPOUND:4594	ATP4B	 NCBIGene:496	gastric ulcer	MONDO:0001126
Ranitidine	 PUBCHEM.COMPOUND:3001055	HRH2	 NCBIGene:3274	gastric ulcer	MONDO:0001126
Revaprazan	 PUBCHEM.COMPOUND:204104	ATP4A	 NCBIGene:495	gastric ulcer	MONDO:0001126
Revaprazan	 PUBCHEM.COMPOUND:204104	ATP4B	 NCBIGene:496	gastric ulcer	MONDO:0001126
Roxatidine acetate	 PUBCHEM.COMPOUND:5105	HRH2	 NCBIGene:3274	gastric ulcer	MONDO:0001126
Tridihexethyl	 PUBCHEM.COMPOUND:20299	CHRM1	 NCBIGene:1128	gastric ulcer	MONDO:0001126
Tridihexethyl	 PUBCHEM.COMPOUND:20299	CHRM3	 NCBIGene:1131	gastric ulcer	MONDO:0001126
Vonoprazan	 PUBCHEM.COMPOUND:15981397	ATP4A	 NCBIGene:495	gastric ulcer	MONDO:0001126
Vonoprazan	 PUBCHEM.COMPOUND:15981397	ATP4B	 NCBIGene:496	gastric ulcer	MONDO:0001126
Fenoldopam	 PUBCHEM.COMPOUND:3341	DRD1	 NCBIGene:1812	malignant essential hypertension	MONDO:0001133
nitroprusside	 CHEBI:7596	GUCY1A1	 NCBIGene:2982	malignant essential hypertension	MONDO:0001133
nitroprusside	 CHEBI:7596	GUCY1A2	 NCBIGene:2977	malignant essential hypertension	MONDO:0001133
nitroprusside	 CHEBI:7596	GUCY1B1	 NCBIGene:2983	malignant essential hypertension	MONDO:0001133
nitroprusside	 CHEBI:7596	GUCY1B2	 NCBIGene:2974	malignant essential hypertension	MONDO:0001133
Alacepril	 PUBCHEM.COMPOUND:71992	ACE	 NCBIGene:1636	essential hypertension	MONDO:0001134
Bunazosin	 PUBCHEM.COMPOUND:2472	ADRA1A	 NCBIGene:148	essential hypertension	MONDO:0001134
Bunazosin	 PUBCHEM.COMPOUND:2472	ADRA1B	 NCBIGene:147	essential hypertension	MONDO:0001134
Moxonidine	 PUBCHEM.COMPOUND:4810	NISCH	 NCBIGene:11188	essential hypertension	MONDO:0001134
Valrubicin	 PUBCHEM.COMPOUND:454216	TOP2A	 NCBIGene:7153	urinary bladder cancer	MONDO:0001187
Betamethasone	 PUBCHEM.COMPOUND:9782	NR3C1	 NCBIGene:2908	acquired thrombocytopenia	MONDO:0001198
Betamethasone acetate	 PUBCHEM.COMPOUND:443967	NR3C1	 NCBIGene:2908	acquired thrombocytopenia	MONDO:0001198
Cortisone acetate	 PUBCHEM.COMPOUND:5745	NR3C1	 NCBIGene:2908	acquired thrombocytopenia	MONDO:0001198
Dexamethasone	 PUBCHEM.COMPOUND:5743	NR3C1	 NCBIGene:2908	acquired thrombocytopenia	MONDO:0001198
Hydrocortisone	 PUBCHEM.COMPOUND:5754	NR3C1	 NCBIGene:2908	acquired thrombocytopenia	MONDO:0001198
Hydrocortisone acetate	 PUBCHEM.COMPOUND:5744	NR3C1	 NCBIGene:2908	acquired thrombocytopenia	MONDO:0001198
Methylprednisolone	 PUBCHEM.COMPOUND:6741	NR3C1	 NCBIGene:2908	acquired thrombocytopenia	MONDO:0001198
Prednisolone	 PUBCHEM.COMPOUND:5755	NR3C1	 NCBIGene:2908	acquired thrombocytopenia	MONDO:0001198
Prednisone	 PUBCHEM.COMPOUND:5865	NR3C1	 NCBIGene:2908	acquired thrombocytopenia	MONDO:0001198
Triamcinolone	 PUBCHEM.COMPOUND:31307	NR3C1	 NCBIGene:2908	acquired thrombocytopenia	MONDO:0001198
Triamcinolone acetonide	 PUBCHEM.COMPOUND:6436	NR3C1	 NCBIGene:2908	acquired thrombocytopenia	MONDO:0001198
Triamcinolone diacetate	 PUBCHEM.COMPOUND:6216	NR3C1	 NCBIGene:2908	acquired thrombocytopenia	MONDO:0001198
Imiquimod	 PUBCHEM.COMPOUND:57469	TLR7	 NCBIGene:51284	common wart	MONDO:0001209
Alfacalcidol	 PUBCHEM.COMPOUND:5282181	VDR	 NCBIGene:7421	hypoparathyroidism	MONDO:0001220
Calcitriol	 PUBCHEM.COMPOUND:5280453	VDR	 NCBIGene:7421	hypoparathyroidism	MONDO:0001220
Cholecalciferol	 PUBCHEM.COMPOUND:5280795	VDR	 NCBIGene:7421	hypoparathyroidism	MONDO:0001220
Ergocalciferol	 PUBCHEM.COMPOUND:5280793	VDR	 NCBIGene:7421	hypoparathyroidism	MONDO:0001220
PARATHYROID HORMONE	 CHEMBL.COMPOUND:CHEMBL2108078	PTH1R	 NCBIGene:5745	hypoparathyroidism	MONDO:0001220
Heparin	 PUBCHEM.COMPOUND:772	SERPINC1	 NCBIGene:462	disseminated intravascular coagulation	MONDO:0001243
Fluvoxamine	 PUBCHEM.COMPOUND:5324346	SLC6A4	 NCBIGene:6532	social phobia	MONDO:0001247
Paroxetine	 PUBCHEM.COMPOUND:43815	SLC6A4	 NCBIGene:6532	social phobia	MONDO:0001247
Sertraline	 PUBCHEM.COMPOUND:68617	SLC6A4	 NCBIGene:6532	social phobia	MONDO:0001247
Venlafaxine	 PUBCHEM.COMPOUND:5656	SLC6A2	 NCBIGene:6530	social phobia	MONDO:0001247
Venlafaxine	 PUBCHEM.COMPOUND:5656	SLC6A4	 NCBIGene:6532	social phobia	MONDO:0001247
Fluocinolone acetonide	 PUBCHEM.COMPOUND:6215	NR3C1	 NCBIGene:2908	choroiditis	MONDO:0001280
Bimatoprost	 PUBCHEM.COMPOUND:5311027	PTGFR	 NCBIGene:5737	hypertrichosis of eyelid	MONDO:0001334
Acipimox	 PUBCHEM.COMPOUND:5310993	HCAR2	 NCBIGene:338442	familial hyperlipidemia	MONDO:0001336
Bezafibrate	 PUBCHEM.COMPOUND:39042	HMGCR	 NCBIGene:3156	familial hyperlipidemia	MONDO:0001336
Bezafibrate	 PUBCHEM.COMPOUND:39042	PPARA	 NCBIGene:5465	familial hyperlipidemia	MONDO:0001336
Clofibrate	 PUBCHEM.COMPOUND:2796	PPARA	 NCBIGene:5465	familial hyperlipidemia	MONDO:0001336
Dextrothyroxine	 PUBCHEM.COMPOUND:8730	THRA	 NCBIGene:7067	familial hyperlipidemia	MONDO:0001336
Dextrothyroxine	 PUBCHEM.COMPOUND:8730	THRB	 NCBIGene:7068	familial hyperlipidemia	MONDO:0001336
Ezetimibe	 PUBCHEM.COMPOUND:150311	NPC1L1	 NCBIGene:29881	familial hyperlipidemia	MONDO:0001336
Fenofibrate	 PUBCHEM.COMPOUND:3339	PPARA	 NCBIGene:5465	familial hyperlipidemia	MONDO:0001336
Levothyroxine	 PUBCHEM.COMPOUND:5819	THRA	 NCBIGene:7067	familial hyperlipidemia	MONDO:0001336
Levothyroxine	 PUBCHEM.COMPOUND:5819	THRB	 NCBIGene:7068	familial hyperlipidemia	MONDO:0001336
Lovastatin	 PUBCHEM.COMPOUND:53232	HMGCR	 NCBIGene:3156	familial hyperlipidemia	MONDO:0001336
Nicotinic acid	 PUBCHEM.COMPOUND:938	HCAR2	 NCBIGene:338442	familial hyperlipidemia	MONDO:0001336
Probucol	 PUBCHEM.COMPOUND:4912	ABCA1	 NCBIGene:19	familial hyperlipidemia	MONDO:0001336
Tyramine	 PUBCHEM.COMPOUND:5610	TAAR1	 NCBIGene:134864	familial hyperlipidemia	MONDO:0001336
Betamethasone	 PUBCHEM.COMPOUND:9782	NR3C1	 NCBIGene:2908	dermatophytosis of groin and perianal area	MONDO:0001405
Betamethasone dipropionate	 PUBCHEM.COMPOUND:21800	NR3C1	 NCBIGene:2908	dermatophytosis of groin and perianal area	MONDO:0001405
Cortisone acetate	 PUBCHEM.COMPOUND:5745	NR3C1	 NCBIGene:2908	dermatophytosis of groin and perianal area	MONDO:0001405
Hydrocortisone	 PUBCHEM.COMPOUND:5754	NR3C1	 NCBIGene:2908	dermatophytosis of groin and perianal area	MONDO:0001405
Ketoconazole	 PUBCHEM.COMPOUND:3823	CYP11B1	 NCBIGene:1584	dermatophytosis of groin and perianal area	MONDO:0001405
Ketoconazole	 PUBCHEM.COMPOUND:3823	CYP17A1	 NCBIGene:1586	dermatophytosis of groin and perianal area	MONDO:0001405
Benzocaine	 PUBCHEM.COMPOUND:2337	SCN10A	 NCBIGene:6336	tinea corporis	MONDO:0001461
Benzocaine	 PUBCHEM.COMPOUND:2337	SCN11A	 NCBIGene:11280	tinea corporis	MONDO:0001461
Benzocaine	 PUBCHEM.COMPOUND:2337	SCN1A	 NCBIGene:6323	tinea corporis	MONDO:0001461
Benzocaine	 PUBCHEM.COMPOUND:2337	SCN2A	 NCBIGene:6326	tinea corporis	MONDO:0001461
Benzocaine	 PUBCHEM.COMPOUND:2337	SCN3A	 NCBIGene:6328	tinea corporis	MONDO:0001461
Benzocaine	 PUBCHEM.COMPOUND:2337	SCN4A	 NCBIGene:6329	tinea corporis	MONDO:0001461
Benzocaine	 PUBCHEM.COMPOUND:2337	SCN5A	 NCBIGene:6331	tinea corporis	MONDO:0001461
Benzocaine	 PUBCHEM.COMPOUND:2337	SCN7A	 NCBIGene:6332	tinea corporis	MONDO:0001461
Benzocaine	 PUBCHEM.COMPOUND:2337	SCN8A	 NCBIGene:6334	tinea corporis	MONDO:0001461
Benzocaine	 PUBCHEM.COMPOUND:2337	SCN9A	 NCBIGene:6335	tinea corporis	MONDO:0001461
Betamethasone	 PUBCHEM.COMPOUND:9782	NR3C1	 NCBIGene:2908	tinea corporis	MONDO:0001461
Betamethasone dipropionate	 PUBCHEM.COMPOUND:21800	NR3C1	 NCBIGene:2908	tinea corporis	MONDO:0001461
Cortisone acetate	 PUBCHEM.COMPOUND:5745	NR3C1	 NCBIGene:2908	tinea corporis	MONDO:0001461
Hydrocortisone	 PUBCHEM.COMPOUND:5754	NR3C1	 NCBIGene:2908	tinea corporis	MONDO:0001461
Ketoconazole	 PUBCHEM.COMPOUND:3823	CYP11B1	 NCBIGene:1584	tinea corporis	MONDO:0001461
Ketoconazole	 PUBCHEM.COMPOUND:3823	CYP17A1	 NCBIGene:1586	tinea corporis	MONDO:0001461
Dexamethasone	 PUBCHEM.COMPOUND:5743	NR3C1	 NCBIGene:2908	punctate epithelial keratoconjunctivitis	MONDO:0001466
Loteprednol etabonate	 PUBCHEM.COMPOUND:444025	NR3C1	 NCBIGene:2908	punctate epithelial keratoconjunctivitis	MONDO:0001466
TEPROTUMUMAB	 CHEMBL.COMPOUND:CHEMBL1743079	IGF1R	 NCBIGene:3480	endocrine exophthalmos	MONDO:0001509
Ibandronic Acid	 PUBCHEM.COMPOUND:60852	FDPS	 NCBIGene:2224	hypercalcemia disease	MONDO:0001566
Ribavirin	 PUBCHEM.COMPOUND:37542	IMPDH1	 NCBIGene:3614	respiratory syncytial virus infectious disease	MONDO:0001577
Hydroxychloroquine	 PUBCHEM.COMPOUND:3652	TLR7	 NCBIGene:51284	Plasmodium ovale malaria	MONDO:0001601
Hydroxychloroquine	 PUBCHEM.COMPOUND:3652	TLR9	 ENSEMBL:ENSG00000173366	Plasmodium ovale malaria	MONDO:0001601
Distigmine	 PUBCHEM.COMPOUND:3116	ACHE	 NCBIGene:43	acute cystitis	MONDO:0001650
Carmustine	 PUBCHEM.COMPOUND:2578	GSR	 NCBIGene:2936	brain cancer	MONDO:0001657
BISMUTH SUBSALICYLATE	 CHEMBL.COMPOUND:CHEMBL1120	PTGS1	 NCBIGene:5742	diarrheal disease	MONDO:0001673
BISMUTH SUBSALICYLATE	 CHEMBL.COMPOUND:CHEMBL1120	PTGS2	 NCBIGene:5743	diarrheal disease	MONDO:0001673
Difenoxin	 PUBCHEM.COMPOUND:34328	OPRM1	 NCBIGene:4988	diarrheal disease	MONDO:0001673
Diphenoxylate	 PUBCHEM.COMPOUND:13505	OPRM1	 NCBIGene:4988	diarrheal disease	MONDO:0001673
Loperamide	 PUBCHEM.COMPOUND:3955	OPRM1	 NCBIGene:4988	diarrheal disease	MONDO:0001673
Morphine	 PUBCHEM.COMPOUND:5288826	OPRM1	 NCBIGene:4988	diarrheal disease	MONDO:0001673
Telotristat ethyl	 PUBCHEM.COMPOUND:25181577	TPH1	 NCBIGene:7166	diarrheal disease	MONDO:0001673
Afamelanotide	 PUBCHEM.COMPOUND:16197727	MC1R	 NCBIGene:4157	erythropoietic protoporphyria	MONDO:0001676
Betamethasone	 PUBCHEM.COMPOUND:9782	NR3C1	 NCBIGene:2908	inherited aplastic anemia	MONDO:0001713
Cortisone acetate	 PUBCHEM.COMPOUND:5745	NR3C1	 NCBIGene:2908	inherited aplastic anemia	MONDO:0001713
Dexamethasone	 PUBCHEM.COMPOUND:5743	NR3C1	 NCBIGene:2908	inherited aplastic anemia	MONDO:0001713
Hydrocortisone	 PUBCHEM.COMPOUND:5754	NR3C1	 NCBIGene:2908	inherited aplastic anemia	MONDO:0001713
Methylprednisolone	 PUBCHEM.COMPOUND:6741	NR3C1	 NCBIGene:2908	inherited aplastic anemia	MONDO:0001713
Oxymetholone	 PUBCHEM.COMPOUND:5281034	AR	 NCBIGene:367	inherited aplastic anemia	MONDO:0001713
Prednisolone	 PUBCHEM.COMPOUND:5755	NR3C1	 NCBIGene:2908	inherited aplastic anemia	MONDO:0001713
Prednisone	 PUBCHEM.COMPOUND:5865	NR3C1	 NCBIGene:2908	inherited aplastic anemia	MONDO:0001713
Triamcinolone	 PUBCHEM.COMPOUND:31307	NR3C1	 NCBIGene:2908	inherited aplastic anemia	MONDO:0001713
