_id	drug_inxight	disease_omim	drug_name	disease_name	nref
11784-OMIM:612926-A3ULP0F556	UNII:A3ULP0F556	OMIM:612926	Eculizumab	HEMOLYTIC UREMIC SYNDROME, ATYPICAL, SUSCEPTIBILITY TO, 6	8
6953-OMIM:612922-A3ULP0F556	UNII:A3ULP0F556	OMIM:612922	Eculizumab	HEMOLYTIC UREMIC SYNDROME, ATYPICAL, SUSCEPTIBILITY TO, 2	8
1968-OMIM:214500-46627O600J	UNII:46627O600J	OMIM:214500	Levodopa	CHEDIAK-HIGASHI SYNDROME; CHS	3
1699-OMIM:612692-66Y330CJHS	UNII:66Y330CJHS	OMIM:612692	Human immunoglobulin G	AGAMMAGLOBULINEMIA 6, AUTOSOMAL RECESSIVE	6
4021-OMIM:617526-EH28UP18IF	UNII:EH28UP18IF	OMIM:617526	Isotretinoin	ERYTHROKERATODERMIA VARIABILIS ET PROGRESSIVA 4; EKVP4	1
10935-OMIM:618049-83619PEU5T	UNII:83619PEU5T	OMIM:618049	Pramipexole	PARKINSONISM-DYSTONIA, INFANTILE, 2; PKDYS2	2
5541-OMIM:601495-66Y330CJHS	UNII:66Y330CJHS	OMIM:601495	Human immunoglobulin G	AGAMMAGLOBULINEMIA 1, AUTOSOMAL RECESSIVE	9
10593-OMIM:608567-N7Z035406B	UNII:N7Z035406B	OMIM:608567	Cilostazol	SICK SINUS SYNDROME 1; SSS1	11
9831-OMIM:609889-P9G3CKZ4P5	UNII:P9G3CKZ4P5	OMIM:609889	Ganciclovir	ALPHA/BETA T-CELL LYMPHOPENIA WITH GAMMA/DELTA T-CELL EXPANSION, SEVERE CYTOMEGALOVIRUS INFECTION, AND AUTOIMMUNITY	3
4326-OMIM:149400-5PE9FDE8GB	UNII:5PE9FDE8GB	OMIM:149400	Clonazepam	HYPEREKPLEXIA 1	18
30228-OMIM:616224-19QM69HH21	UNII:19QM69HH21	OMIM:616224	Pyridostigmine	MYASTHENIC SYNDROME, CONGENITAL, 22	4
6269-ORPHA:130-L628TT009W	UNII:L628TT009W	OMIM:6269-ORPHA:130	Isoprenaline	Brugada syndrome	9
1304-OMIM:607398-WI4X0X7BPJ	UNII:WI4X0X7BPJ	OMIM:607398	Hydrocortisone	GLUCOCORTICOID DEFICIENCY 2; GCCD2	3
10856-OMIM:222900-8A7F670F2Y	UNII:8A7F670F2Y	OMIM:222900	Sacrosidase	SUCRASE-ISOMALTASE DEFICIENCY, CONGENITAL	12
2578-OMIM:300645-21K6M2I7AG	UNII:21K6M2I7AG	OMIM:300645	Interferon gamma-1b	IMMUNODEFICIENCY 34; IMD34	3
5147-OMIM:276710-PQ6CK8PD0R	UNII:PQ6CK8PD0R	OMIM:276710	Ascorbic acid	TYROSINEMIA, TYPE III	8
438-OMIM:241500-Z633861EIM	UNII:Z633861EIM	OMIM:241500	Asfotase alfa	HYPOPHOSPHATASIA, INFANTILE	15
6617-OMIM:278000-K4YTU42T8G	UNII:K4YTU42T8G	OMIM:278000	Sebelipase alfa	LYSOSOMAL ACID LIPASE DEFICIENCY	4
3535-OMIM:188050-5Q7ZVV76EI	UNII:5Q7ZVV76EI	OMIM:188050	Warfarin	THROMBOPHILIA DUE TO THROMBIN DEFECT; THPH1	1
438-OMIM:241510-Z633861EIM	UNII:Z633861EIM	OMIM:241510	Asfotase alfa	HYPOPHOSPHATASIA, CHILDHOOD	17
60-ORPHA:130-L628TT009W	UNII:L628TT009W	OMIM:60-ORPHA:130	Isoprenaline	Brugada syndrome	9
1037-OMIM:612924-A3ULP0F556	UNII:A3ULP0F556	OMIM:612924	Eculizumab	HEMOLYTIC UREMIC SYNDROME, ATYPICAL, SUSCEPTIBILITY TO, 4	8
6257-OMIM:618856-SX6K58TVWC	UNII:SX6K58TVWC	OMIM:618856	Glyburide	DIABETES MELLITUS, PERMANENT NEONATAL 2; PNDM2	12
5391-OMIM:607016-WP58SVM6R4	UNII:WP58SVM6R4	OMIM:607016	Laronidase	SCHEIE SYNDROME	81
8646-OMIM:264070-EGX657432I	UNII:EGX657432I	OMIM:264070	Sapropterin	HYPERPHENYLALANINEMIA, BH4-DEFICIENT, D	2
16187-OMIM:211530-TLM2976OFR	UNII:TLM2976OFR	OMIM:211530	Riboflavin	BROWN-VIALETTO-VAN LAERE SYNDROME 1	4
14537-OMIM:607625-ADN3S497AZ	UNII:ADN3S497AZ	OMIM:607625	Miglustat	NIEMANN-PICK DISEASE, TYPE C2	8
9413-OMIM:615966-66Y330CJHS	UNII:66Y330CJHS	OMIM:615966	Human immunoglobulin G	IMMUNODEFICIENCY 26 WITH OR WITHOUT NEUROLOGIC ABNORMALITIES	65
4065-OMIM:232300-DTI67O9503	UNII:DTI67O9503	OMIM:232300	Alglucosidase alfa	GLYCOGEN STORAGE DISEASE II; GSD2	100
11132-OMIM:616330-RU4S6E2G0J	UNII:RU4S6E2G0J	OMIM:616330	Amifampridine	MYASTHENIC SYNDROME, CONGENITAL, 18; CMS18	2
11920-OMIM:601859-W36ZG6FT64	UNII:W36ZG6FT64	OMIM:601859	Sirolimus	AUTOIMMUNE LYMPHOPROLIFERATIVE SYNDROME	5
30500-ORPHA:569-33CM23913M	UNII:33CM23913M	OMIM:30500-ORPHA:569	Carbamazepine	Familial or sporadic hemiplegic migraine	2
11621-OMIM:600496-839I73S42A	UNII:839I73S42A	OMIM:600496	Liraglutide	MATURITY-ONSET DIABETES OF THE YOUNG, TYPE 3	5
19041-OMIM:615573-9G64RSX1XD	UNII:9G64RSX1XD	OMIM:615573	Captopril	NEPHROTIC SYNDROME, TYPE 9	6
4170-ORPHA:79277-9VU1KI44GP	UNII:9VU1KI44GP	OMIM:4170-ORPHA:79277	Vitamin D	Congenital erythropoietic porphyria	3
68-OMIM:614857-3SCV180C9W	UNII:3SCV180C9W	OMIM:614857	Glycine betaine	METHYLMALONIC ACIDURIA AND HOMOCYSTINURIA, cblJ TYPE; MAHCJ	2
