Rank	Drug Name	Total Prescriptions (2019)	Total Patients (2019)	Annual Change
119	Clindamycin	5,588,597	3,047,976	 17
120	Donepezil	5,538,291	1,432,688	 14
121	Insulin Detemir	5,534,526	1,114,545	 8
122	Hydroxychloroquine	5,440,844	1,220,122	 11
123	Isosorbide	5,420,352	1,196,717	 12
124	Ethinyl Estradiol; Levonorgestrel	5,372,880	1,462,023	 14
125	Baclofen	5,366,102	1,428,051	0
126	Testosterone	5,339,785	1,225,167	 1
127	Esomeprazole	5,305,918	1,296,630	 22
128	Desogestrel; Ethinyl Estradiol	5,264,389	1,110,114	 44
129	Oseltamivir	5,214,926	4,417,445	 33
130	Benazepril	5,180,063	1,334,128	 9
131	Dexmethylphenidate	5,179,401	714,477	 29
132	Tiotropium	5,177,802	1,174,965	 22
133	Fluconazole	5,149,547	3,048,599	 3
134	Dulaglutide	5,095,034	1,115,444	 20
135	Chlorthalidone	4,986,853	1,195,004	 29
136	Methocarbamol	4,888,933	1,764,142	 13
137	Enalapril	4,669,056	958,638	 3
138	Metronidazole	4,664,907	2,898,583	 16
139	Prednisolone	4,638,327	2,547,930	0
140	Guanfacine	4,608,026	690,784	 8
141	Verapamil	4,593,421	927,301	 8
142	Liraglutide	4,524,862	973,972	 5
143	Norethindrone	4,514,574	1,096,191	 1
144	Ropinirole	4,487,533	997,625	 27
145	Acetaminophen	4,483,857	2,536,254	 59
146	Empagliflozin	4,459,539	914,424	 70
147	Hydrocortisone	4,382,981	2,143,789	 1
148	Drospirenone; Ethinyl Estradiol	4,348,309	943,259	 20
149	Risperidone	4,285,907	663,688	 12
150	Meclizine	4,258,968	1,439,405	 7
151	Albuterol; Ipratropium	4,231,364	1,046,066	 6
152	Adalimumab	4,208,358	553,816	 27
153	Nortriptyline	4,190,832	788,683	 1
154	Valsartan	4,158,666	1,072,224	 57
155	Cyanocobalamin	4,061,263	1,191,271	 29
156	Etonogestrel; Ethinyl Estradiol	4,050,295	834,116	 11
157	Acyclovir	3,950,520	1,308,357	 1
158	Phentermine	3,842,226	1,017,109	 11
159	Cefdinir	3,839,266	3,008,107	 8
160	Timolol	3,833,125	1,052,388	 7
161	Methylprednisolone	3,812,202	2,834,344	 4
162	Oxcarbazepine	3,796,002	632,006	0
163	Morphine	3,756,696	636,123	 26
164	Olmesartan	3,742,011	1,000,776	 78
165	Dicyclomine	3,730,730	1,156,286	 32
166	Pramipexole	3,685,677	735,018	 32
167	Azelastine	3,669,768	1,247,976	 56
168	Insulin Degludec	3,632,525	773,441	 18
169	Memantine	3,631,969	831,395	 22
170	Prazosin	3,624,710	616,417	 39
171	Ketoconazole	3,573,982	1,796,305	 16
172	Rizatriptan	3,514,594	857,676	 2
173	Acetaminophen; Codeine	3,508,582	1,971,731	 23
174	Promethazine	3,392,438	1,547,216	 19
175	Metformin; Sitagliptin	3,363,543	668,951	 17
176	Anastrozole	3,338,664	811,943	 56
177	Desvenlafaxine	3,283,561	590,830	 36
178	Ramipril	3,271,102	853,882	 19
179	Pioglitazone	3,241,839	858,233	 38
180	Clobetasol	3,226,423	1,688,723	 35
181	Irbesartan	3,220,533	896,653	 6
182	Levofloxacin	3,202,649	1,995,684	 19
183	Amiodarone	3,185,474	714,249	 7
184	Nitroglycerin	3,165,204	1,274,921	 4
185	Olanzapine	3,165,180	528,975	 42
186	Sucralfate	3,161,187	892,843	 16
187	Docusate	3,136,752	1,377,989	 41
188	Progesterone	3,070,724	722,137	 15
189	Mirabegron	3,065,676	742,152	 46
190	Mupirocin	3,064,118	2,172,326	 24
191	Nebivolol	3,061,887	667,364	 8
192	Nitrofurantoin	2,957,359	1,608,563	 12
193	Levocetirizine	2,913,554	805,527	 35
194	Methimazole	2,901,300	544,953	 49
195	Cyclosporine	2,889,776	904,132	 34
196	Sildenafil	2,877,293	973,315	 12
197	Carbamazepine	2,864,887	478,023	 8
198	Labetalol	2,825,281	653,627	 33
199	Calcium; Cholecalciferol	2,777,842	621,965	 29
200	Lansoprazole	2,772,218	632,804	 17
201	Budesonide	2,749,945	886,015	 20
202	Colchicine	2,741,108	911,816	 1
203	Terazosin	2,736,027	607,817	 3
204	Umeclidinium; Vilanterol	2,697,882	467,017	 56
205	Lithium	2,643,601	425,396	 9
206	Digoxin	2,607,773	580,966	 22
207	Dorzolamide; Timolol	2,590,909	657,541	 44
208	Melatonin	2,586,637	694,786	 64
209	Insulin Human; Insulin Isophane Human	2,528,165	538,930	 5
210	Doxazosin	2,515,836	648,593	 34
211	Ranolazine	2,501,299	405,880	 39
212	Gemfibrozil	2,367,670	545,798	 6
213	Amlodipine; Benazepril	2,332,425	570,960	 31
214	Temazepam	2,324,388	628,800	 25
215	Flecainide	2,318,516	461,028	 51
216	Ticagrelor	2,299,436	402,097	 46
217	Brimonidine	2,290,788	675,178	 5
218	Dexlansoprazole	2,290,526	482,099	 3
219	Lidocaine	2,273,902	1,085,302	 17
220	Lurasidone	2,258,860	337,130	 27
221	Benztropine	2,238,056	352,987	 47
222	Nystatin	2,185,148	1,101,946	 15
223	Eszopiclone	2,166,392	518,564	 46
224	Sacubitril; Valsartan	2,165,813	435,484	 76
225	Calcium Citrate	2,130,298	590,726	 63
226	Sodium	2,117,733	792,775	 8
227	Torsemide	2,117,192	476,144	 46
228	Butalbital; Acetaminophen; Caffeine	2,116,128	694,354	 43
229	Mesalamine	2,109,084	538,910	 4
230	Liothyronine	2,083,234	439,905	 35
231	Buprenorphine	2,072,033	273,376	 17
232	Ofloxacin	2,051,823	1,422,882	 6
233	Erythromycin	2,041,420	1,373,882	 14
234	Doxepin	2,033,456	550,406	 43
235	Semaglutide	2,021,060	610,492	 162
236	Hydromorphone	2,013,469	541,502	 12
237	Penicillin V	2,005,184	1,455,073	 3
238	Valsartan; Hydrochlorothiazide	1,993,866	465,719	 55
239	Beclomethasone	1,993,298	742,497	 29
240	Brimonidine; Timolol	1,990,438	470,874	 62
241	Bumetanide	1,990,418	420,604	 21
242	Letrozole	1,981,574	368,191	 17
243	Linagliptin	1,941,245	380,780	 65
244	Tretinoin	1,937,920	948,930	 53
245	Minocycline	1,925,676	609,265	 35
246	Ipratropium	1,898,297	686,638	 1
247	Polyethylene Glycol 3350	1,874,075	799,097	 21
248	Umeclidinium	1,869,725	317,557	 13
249	Bisoprolol	1,863,725	307,090	 37
250	Calcitriol	1,847,312	430,582	 1
251	Varenicline	1,836,461	663,856	 72
252	Epinephrine	1,756,817	1,369,809	 8
253	Estrogens, Conjugated	1,748,939	398,483	0
254	Glyburide	1,743,041	460,726	 50
255	Guaifenesin	1,716,663	1,136,061	 63
256	Magnesium Acetate	1,712,179	533,710	 15
257	Ethinyl Estradiol; Norgestrel	1,704,321	300,727	 33
258	Sotalol	1,698,717	353,633	 5
259	Bimatoprost	1,697,723	410,702	 17
260	Insulin Isophane	1,674,609	372,003	 4
261	Medroxyprogesterone	1,661,971	644,481	 58
262	Tamoxifen	1,656,753	405,119	 16
263	Mometasone	1,638,401	463,974	 41
264	Sulfasalazine	1,632,254	375,613	 79
265	Dorzolamide	1,615,872	463,403	 48
266	Ketorolac	1,602,923	1,110,598	 72
267	Indomethacin	1,574,456	770,570	 28
268	Atomoxetine	1,563,862	375,184	 103
269	Olopatadine	1,561,992	719,835	 24
270	Telmisartan	1,553,265	383,898	 25
271	Phenytoin	1,536,389	298,537	0
272	Buprenorphine; Naloxone	1,514,317	180,019	 80
273	Raloxifene	1,510,334	340,374	 74
274	Tobramycin; Dexamethasone	1,486,152	797,964	 97
275	Naltrexone	1,465,584	349,282	 28
276	Polymyxin B; Trimethoprim	1,450,395	1,019,455	 6
277	Terbinafine	1,441,827	677,406	 54
278	Fentanyl	1,440,011	237,302	 16
279	Diphenhydramine	1,433,911	506,643	 20
280	Bisoprolol; Hydrochlorothiazide	1,433,172	294,136	 1
281	Pancrelipase Lipase; Pancrelipase Protease; Pancrelipase Amylase	1,433,033	355,077	 20
282	Zonisamide	1,432,118	222,847	0
283	Fexofenadine	1,428,320	468,086	 25
284	Erenumab	1,416,499	237,083	0
285	Linaclotide	1,399,268	335,650	 74
286	Brompheniramine; Dextromethorphan; Pseudoephedrine	1,396,531	845,363	 18
287	Omega-3-acid Ethyl Esters	1,391,748	421,905	 110
288	Dimethyl	1,386,389	227,231	0
289	Tadalafil	1,379,014	411,977	 34
290	Canagliflozin	1,373,539	304,908	 97
291	Emtricitabine; Tenofovir Disoproxil	1,345,532	189,668	 36
292	Tolterodine	1,340,859	387,878	 17
293	Etanercept	1,320,548	235,493	 15
294	Quinapril	1,318,428	300,038	 41
295	Senna; Docusate	1,313,539	610,326	 78
296	Betamethasone	1,311,106	914,208	 42
297	Solifenacin	1,307,159	317,209	 32
298	Insulin, Regular, Human	1,298,682	213,288	 1
299	Chlorhexidine	1,295,645	793,562	 10
300	Fluocinonide	1,290,749	595,456	 22
