OriginalName	ID	RoundtripName	Match
Fenofibrate	PUBCHEM.COMPOUND:3339	Fenofibrate	True
Sitagliptin	PUBCHEM.COMPOUND:4369359	Sitagliptin	True
Folic Acid	PUBCHEM.COMPOUND:135398658	Folic acid	False
Doxycycline	CHEMBL.COMPOUND:CHEMBL1200699	DOXYCYCLINE	False
Rivaroxaban	PUBCHEM.COMPOUND:9875401	Rivaroxaban	True
Tizanidine	PUBCHEM.COMPOUND:5487	Tizanidine	True
Amoxicillin; Clavulanate	PUBCHEM.COMPOUND:33613	Amoxicillin	False
Amitriptyline	PUBCHEM.COMPOUND:2160	Amitriptyline	True
Lovastatin	PUBCHEM.COMPOUND:53232	Lovastatin	True
Alendronate	PUBCHEM.COMPOUND:2088	Alendronic acid	False
Levetiracetam	PUBCHEM.COMPOUND:5284583	Levetiracetam	True
Sumatriptan	PUBCHEM.COMPOUND:5358	Sumatriptan	True
Hydralazine	PUBCHEM.COMPOUND:3637	Hydralazine	True
Sulfamethoxazole; Trimethoprim	PUBCHEM.COMPOUND:5329	Sulfamethoxazole	False
Aripiprazole	PUBCHEM.COMPOUND:60795	Aripiprazole	True
Celecoxib	PUBCHEM.COMPOUND:2662	Celecoxib	True
Ferrous Sulfate	PUBCHEM.COMPOUND:24393	Ferrous sulfate	False
Famotidine	PUBCHEM.COMPOUND:3325	Famotidine	True
Benzonatate	PUBCHEM.COMPOUND:7699	Benzonatate	True
Mirtazapine	PUBCHEM.COMPOUND:4205	Mirtazapine	True
Triamcinolone	PUBCHEM.COMPOUND:31307	Triamcinolone	True
Ezetimibe	PUBCHEM.COMPOUND:150311	Ezetimibe	True
Fluticasone; Vilanterol	PUBCHEM.COMPOUND:5311101	Fluticasone	False
Valacyclovir	PUBCHEM.COMPOUND:135398742	Valacyclovir	True
Methotrexate	PUBCHEM.COMPOUND:126941	Methotrexate	True
Oxybutynin	PUBCHEM.COMPOUND:4634	Oxybutynin	True
Ciprofloxacin	PUBCHEM.COMPOUND:2764	Ciprofloxacin	True
Valproate	PUBCHEM.COMPOUND:3549980	Valproate	True
Triamterene; Hydrochlorothiazide	PUBCHEM.COMPOUND:5546	Triamterene	False
Thyroid	CHEBI:9584	desiccated thyroid extract	False
Diazepam	PUBCHEM.COMPOUND:3016	Diazepam	True
Nifedipine	PUBCHEM.COMPOUND:4485	Nifedipine	True
Clindamycin	PUBCHEM.COMPOUND:29029	7(S)-Chloro-7-deoxylincomycin	False
Donepezil	PUBCHEM.COMPOUND:3152	Donepezil	True
Insulin Detemir	UNII:4FT78T86XV	Insulin detemir	False
Hydroxychloroquine	PUBCHEM.COMPOUND:3652	Hydroxychloroquine	True
Isosorbide	PUBCHEM.COMPOUND:12597	Isosorbide	True
Ethinyl Estradiol; Levonorgestrel	PUBCHEM.COMPOUND:5991	Ethinyl estradiol	False
Baclofen	PUBCHEM.COMPOUND:2284	Baclofen	True
Testosterone	PUBCHEM.COMPOUND:6013	Testosterone	True
Esomeprazole	PUBCHEM.COMPOUND:9568614	Esomeprazole	True
Desogestrel; Ethinyl Estradiol	PUBCHEM.COMPOUND:40973	Desogestrel	False
Oseltamivir	PUBCHEM.COMPOUND:65028	Oseltamivir	True
Benazepril	PUBCHEM.COMPOUND:40466887	2-[(3S)-3-[[(2S)-1-Ethoxy-1-oxo-4-phenylbutan-2-yl]azaniumyl]-2-oxo-4,5-dihydro-3H-1-benzazepin-1-yl]acetate	False
Dexmethylphenidate	PUBCHEM.COMPOUND:154101	Dexmethylphenidate	True
Tiotropium	CHEMBL.COMPOUND:CHEMBL1900528	TIOTROPIUM	False
Fluconazole	PUBCHEM.COMPOUND:3365	Fluconazole	True
Dulaglutide	UNII:WTT295HSY5	DULAGLUTIDE	False
Chlorthalidone	PUBCHEM.COMPOUND:2732	Chlorthalidone	True
Methocarbamol	CHEBI:6832	methocarbamol	False
Enalapril	PUBCHEM.COMPOUND:40466924	Enalapril	True
Metronidazole	PUBCHEM.COMPOUND:4173	Metronidazole	True
Prednisolone	PUBCHEM.COMPOUND:5755	Prednisolone	True
Guanfacine	PUBCHEM.COMPOUND:3519	Guanfacine	True
Verapamil	CHEBI:9948	Verapamil	True
Liraglutide	PUBCHEM.COMPOUND:16134956	Liraglutide	True
Norethindrone	PUBCHEM.COMPOUND:6230	Norethindrone	True
Ropinirole	PUBCHEM.COMPOUND:5095	Ropinirole	True
Acetaminophen	PUBCHEM.COMPOUND:1983	Acetaminophen	True
Empagliflozin	PUBCHEM.COMPOUND:11949646	Empagliflozin	True
Hydrocortisone	PUBCHEM.COMPOUND:5754	Hydrocortisone	True
Drospirenone; Ethinyl Estradiol	PUBCHEM.COMPOUND:68873	Drospirenone	False
Risperidone	PUBCHEM.COMPOUND:5073	Risperidone	True
Meclizine	PUBCHEM.COMPOUND:4034	Meclizine	True
Albuterol; Ipratropium	PUBCHEM.COMPOUND:2083	Salbutamol	False
Adalimumab	UNII:FYS6T7F842	ADALIMUMAB	False
Nortriptyline	PUBCHEM.COMPOUND:4543	Nortriptyline	True
Valsartan	PUBCHEM.COMPOUND:60846	Valsartan	True
Cyanocobalamin	PUBCHEM.COMPOUND:11378364	Cyanocobalamin	True
Etonogestrel; Ethinyl Estradiol	PUBCHEM.COMPOUND:6917715	Etonogestrel	False
Acyclovir	PUBCHEM.COMPOUND:135398513	Acyclovir	True
Phentermine	PUBCHEM.COMPOUND:4771	Phentermine	True
Cefdinir	PUBCHEM.COMPOUND:6915944	Cefdinir	True
Timolol	PUBCHEM.COMPOUND:33624	Timolol	True
Methylprednisolone	PUBCHEM.COMPOUND:6741	Methylprednisolone	True
Oxcarbazepine	PUBCHEM.COMPOUND:34312	Oxcarbazepine	True
Morphine	PUBCHEM.COMPOUND:5288826	Morphine	True
Olmesartan	PUBCHEM.COMPOUND:158781	Olmesartan	True
Dicyclomine	PUBCHEM.COMPOUND:3042	Dicyclomine	True
Pramipexole	PUBCHEM.COMPOUND:119570	Pramipexole	True
Azelastine	PUBCHEM.COMPOUND:2267	Azelastine	True
Insulin Degludec	UNII:54Q18076QB	Insulin degludec	False
Memantine	PUBCHEM.COMPOUND:4054	Memantine	True
Prazosin	PUBCHEM.COMPOUND:4893	Prazosin	True
Ketoconazole	CHEBI:47519	ketoconazole	False
Rizatriptan	PUBCHEM.COMPOUND:5078	Rizatriptan	True
Acetaminophen; Codeine	PUBCHEM.COMPOUND:1983	Acetaminophen	False
Promethazine	PUBCHEM.COMPOUND:4927	Promethazine	True
Metformin; Sitagliptin	PUBCHEM.COMPOUND:4091	Metformin	False
Anastrozole	PUBCHEM.COMPOUND:2187	Anastrozole	True
Desvenlafaxine	PUBCHEM.COMPOUND:125017	Desvenlafaxine	True
Ramipril	PUBCHEM.COMPOUND:5362129	Ramipril	True
Pioglitazone	PUBCHEM.COMPOUND:4829	Pioglitazone	True
Clobetasol	PUBCHEM.COMPOUND:5311051	Clobetasol	True
Irbesartan	PUBCHEM.COMPOUND:3749	Irbesartan	True
Levofloxacin	PUBCHEM.COMPOUND:149096	Levofloxacin	True
Amiodarone	PUBCHEM.COMPOUND:2157	Amiodarone	True
Nitroglycerin	PUBCHEM.COMPOUND:4510	Nitroglycerin	True
Olanzapine	PUBCHEM.COMPOUND:135398745	Olanzapine	True
Sucralfate	CHEBI:9313	Sucralfate	True
Docusate	PUBCHEM.COMPOUND:11339	Docusate	True
Progesterone	PUBCHEM.COMPOUND:5994	Progesterone	True
Mirabegron	PUBCHEM.COMPOUND:9865528	Mirabegron	True
Mupirocin	PUBCHEM.COMPOUND:446596	Mupirocin	True
Nebivolol	CHEBI:64022	nebivolol	False
Nitrofurantoin	PUBCHEM.COMPOUND:6604200	Nitrofurantoin	True
Levocetirizine	PUBCHEM.COMPOUND:1549000	Levocetirizine	True
Methimazole	PUBCHEM.COMPOUND:1349907	Methimazole	True
Cyclosporine	PUBCHEM.COMPOUND:5280754	Cyclosporine	True
Sildenafil	PUBCHEM.COMPOUND:135398744	Sildenafil	True
Carbamazepine	PUBCHEM.COMPOUND:2554	Carbamazepine	True
Labetalol	PUBCHEM.COMPOUND:3869	Labetalol	True
Calcium; Cholecalciferol	PUBCHEM.COMPOUND:5460341	Calcium	False
Lansoprazole	PUBCHEM.COMPOUND:3883	Lansoprazole	True
Budesonide	PUBCHEM.COMPOUND:5281004	Budesonide	True
Colchicine	PUBCHEM.COMPOUND:2833	N-(1,2,3,10-Tetramethoxy-9-oxo-5,6,7,9-tetrahydrobenzo[a]heptalen-7-yl)acetamide	False
Terazosin	PUBCHEM.COMPOUND:5401	Terazosin	True
Umeclidinium; Vilanterol	CHEBI:79041	umeclidinium	False
Lithium	PUBCHEM.COMPOUND:3028194	Lithium	True
Digoxin	PUBCHEM.COMPOUND:2724385	Digoxin	True
Dorzolamide; Timolol	PUBCHEM.COMPOUND:5284549	Dorzolamide	False
Melatonin	PUBCHEM.COMPOUND:896	Melatonin	True
Insulin Human; Insulin Isophane Human	PUBCHEM.COMPOUND:118984375	Insulin human	False
Doxazosin	PUBCHEM.COMPOUND:3157	Doxazosin	True
Ranolazine	CHEBI:87681	ranolazine	False
Gemfibrozil	PUBCHEM.COMPOUND:3463	Gemfibrozil	True
Amlodipine; Benazepril	PUBCHEM.COMPOUND:2162	Amlodipine	False
Temazepam	PUBCHEM.COMPOUND:5391	Temazepam	True
Flecainide	PUBCHEM.COMPOUND:3356	Flecainide	True
Ticagrelor	PUBCHEM.COMPOUND:9871419	Ticagrelor	True
Brimonidine	PUBCHEM.COMPOUND:2435	Brimonidine	True
Dexlansoprazole	PUBCHEM.COMPOUND:9578005	Dexlansoprazole	True
Lidocaine	PUBCHEM.COMPOUND:3676	Lidocaine	True
Lurasidone	PUBCHEM.COMPOUND:213046	Lurasidone	True
Benztropine	CHEMBL.COMPOUND:CHEMBL1201203	BENZTROPINE	False
Nystatin	PUBCHEM.COMPOUND:11286230	Nystatin	True
Eszopiclone	PUBCHEM.COMPOUND:969472	Eszopiclone	True
Sacubitril; Valsartan	PUBCHEM.COMPOUND:9811834	Sacubitril	False
Calcium Citrate	PUBCHEM.COMPOUND:129662605	Calcium citrate	False
Sodium	PUBCHEM.COMPOUND:5360545	Sodium	True
Torsemide	PUBCHEM.COMPOUND:41781	Torsemide	True
Butalbital; Acetaminophen; Caffeine	PUBCHEM.COMPOUND:2481	Butalbital	False
Mesalamine	PUBCHEM.COMPOUND:4075	Mesalamine	True
Liothyronine	PUBCHEM.COMPOUND:5920	Liothyronine	True
Buprenorphine	PUBCHEM.COMPOUND:644073	Buprenorphine	True
Ofloxacin	PUBCHEM.COMPOUND:3288597	Ofloxacin	True
Erythromycin	CHEBI:48923	erythromycin	False
Doxepin	PUBCHEM.COMPOUND:3158	Doxepin	True
Semaglutide	PUBCHEM.COMPOUND:122189768	Semaglutide	True
Hydromorphone	PUBCHEM.COMPOUND:5284570	Hydromorphone	True
Penicillin V	PUBCHEM.COMPOUND:6869	Penicillin v	False
Valsartan; Hydrochlorothiazide	PUBCHEM.COMPOUND:60846	Valsartan	False
Beclomethasone	PUBCHEM.COMPOUND:20469	Beclomethasone	True
Brimonidine; Timolol	PUBCHEM.COMPOUND:2435	Brimonidine	False
Bumetanide	PUBCHEM.COMPOUND:2471	Bumetanide	True
Letrozole	PUBCHEM.COMPOUND:3902	Letrozole	True
Linagliptin	PUBCHEM.COMPOUND:10096344	Linagliptin	True
Tretinoin	PUBCHEM.COMPOUND:444795	Tretinoin	True
Minocycline	CHEMBL.COMPOUND:CHEMBL1434	MINOCYCLINE	False
Ipratropium	CHEBI:5956	ipratropium	False
Polyethylene Glycol 3350	UNII:G2M7P15E5P	POLYETHYLENE GLYCOL 3350	False
Umeclidinium	CHEBI:79041	umeclidinium	False
Bisoprolol	PUBCHEM.COMPOUND:2405	Bisoprolol	True
Calcitriol	PUBCHEM.COMPOUND:5280453	Calcitriol	True
Varenicline	PUBCHEM.COMPOUND:170361	Varenicline	True
Epinephrine	PUBCHEM.COMPOUND:139148732	Epinephrine	True
Estrogens, Conjugated	PUBCHEM.COMPOUND:45357473	Conjugated estrogens	False
Glyburide	PUBCHEM.COMPOUND:3488	Glyburide	True
Guaifenesin	PUBCHEM.COMPOUND:3516	Guaifenesin	True
Magnesium Acetate	MESH:C000656591	Magnesium acetate	False
Ethinyl Estradiol; Norgestrel	PUBCHEM.COMPOUND:5991	Ethinyl estradiol	False
Sotalol	PUBCHEM.COMPOUND:5253	Sotalol	True
Bimatoprost	PUBCHEM.COMPOUND:5311027	Bimatoprost	True
Insulin Isophane	MESH:D007336	Insulin, Isophane	False
Medroxyprogesterone	PUBCHEM.COMPOUND:10631	Medroxyprogesterone	True
Tamoxifen	PUBCHEM.COMPOUND:2733526	Tamoxifen	True
Mometasone	PUBCHEM.COMPOUND:441335	Mometasone	True
Sulfasalazine	CHEMBL.COMPOUND:CHEMBL421	SULFASALAZINE	False
Dorzolamide	PUBCHEM.COMPOUND:5284549	Dorzolamide	True
Ketorolac	PUBCHEM.COMPOUND:3826	Ketorolac	True
Indomethacin	PUBCHEM.COMPOUND:3715	Indomethacin	True
Atomoxetine	PUBCHEM.COMPOUND:54841	Atomoxetine	True
Olopatadine	PUBCHEM.COMPOUND:25271818	Olopatadine	True
Telmisartan	PUBCHEM.COMPOUND:65999	Telmisartan	True
Phenytoin	PUBCHEM.COMPOUND:146015336	Sdccgsbi-0050317.P006	False
Buprenorphine; Naloxone	PUBCHEM.COMPOUND:644073	Buprenorphine	False
Raloxifene	PUBCHEM.COMPOUND:5035	Raloxifene	True
Tobramycin; Dexamethasone	PUBCHEM.COMPOUND:36294	Tobramycin	False
Naltrexone	PUBCHEM.COMPOUND:5360515	Naltrexone	True
Polymyxin B; Trimethoprim	PUBCHEM.COMPOUND:49800004	Polymyxin b	False
Terbinafine	PUBCHEM.COMPOUND:1549008	Terbinafine	True
Fentanyl	PUBCHEM.COMPOUND:3345	Fentanyl	True
Diphenhydramine	PUBCHEM.COMPOUND:3100	Diphenhydramine	True
Bisoprolol; Hydrochlorothiazide	PUBCHEM.COMPOUND:2405	Bisoprolol	False
x[0]			False
Zonisamide	PUBCHEM.COMPOUND:11967800	Zonisamide	True
Fexofenadine	PUBCHEM.COMPOUND:3348	Fexofenadine	True
Erenumab	UNII:I5I8VB78VT	ERENUMAB	False
Linaclotide	PUBCHEM.COMPOUND:16158208	Linaclotide	True
Brompheniramine; Dextromethorphan; Pseudoephedrine	PUBCHEM.COMPOUND:6834	Brompheniramine	False
x[0]			False
Dimethyl	PUBCHEM.COMPOUND:123994	Dimethyl C7	False
Tadalafil	PUBCHEM.COMPOUND:110635	Tadalafil	True
Canagliflozin	PUBCHEM.COMPOUND:24812758	Canagliflozin	True
Emtricitabine; Tenofovir Disoproxil	PUBCHEM.COMPOUND:60877	Emtricitabine	False
Tolterodine	PUBCHEM.COMPOUND:443879	Tolterodine	True
Etanercept	CHEBI:4875	etanercept	False
Quinapril	PUBCHEM.COMPOUND:40466957	Quinapril	True
Senna; Docusate	NCBITaxon:53922	Senna	False
Betamethasone	PUBCHEM.COMPOUND:9782	Betamethasone	True
Solifenacin	PUBCHEM.COMPOUND:154059	Solifenacin	True
Insulin, Regular, Human	PUBCHEM.COMPOUND:118984375	Insulin human	False
Chlorhexidine	PUBCHEM.COMPOUND:2713	Chlorhexidine Base	False
Fluocinonide	PUBCHEM.COMPOUND:9642	Fluocinonide	True
