_id	drug_pubchem_cid	disease_umls	drug_name	disease_name	status	date
ACTIUHUUMQJHFO-UPTCCGCDSA-N	PUBCHEM.COMPOUND:5281915	UMLS:C0014527	ubidecarenone	Epidermolysis Bullosa	Designated	2018-04-16
ACTOXUHEUCPTEW-BOISPSKTSA-N	PUBCHEM.COMPOUND:5702243	UMLS:C0021051	Spiramycin	Immunodeficiency	Designated/Withdrawn	1984-10-17
ACTOXUHEUCPTEW-BOISPSKTSA-N	PUBCHEM.COMPOUND:5702243	UMLS:C0030498	Spiramycin	parasitic	Designated/Withdrawn	1984-10-17
ACTOXUHEUCPTEW-BOISPSKTSA-N	PUBCHEM.COMPOUND:5702243	UMLS:C0239055	Spiramycin	CHRONIC CRYPTOSPORIDIOSIS	Designated/Withdrawn	1984-10-17
ACTOXUHEUCPTEW-BWHGAVFKSA-N	PUBCHEM.COMPOUND:5284619	UMLS:C0021051	Spiramycin	Immunodeficiency	Designated/Withdrawn	1984-10-17
ACTOXUHEUCPTEW-BWHGAVFKSA-N	PUBCHEM.COMPOUND:5284619	UMLS:C0239055	Spiramycin	CHRONIC CRYPTOSPORIDIOSIS	Designated/Withdrawn	1984-10-17
ACTOXUHEUCPTEW-BWHGAVFKSA-N	PUBCHEM.COMPOUND:5284619	UMLS:C0030498	Spiramycin	parasitic	Designated/Withdrawn	1984-10-17
ACTOXUHEUCPTEW-CEUOBAOPSA-N	PUBCHEM.COMPOUND:5289394	UMLS:C0239055	Spiramycin	CHRONIC CRYPTOSPORIDIOSIS	Designated/Withdrawn	1984-10-17
ACTOXUHEUCPTEW-CEUOBAOPSA-N	PUBCHEM.COMPOUND:5289394	UMLS:C0030498	Spiramycin	parasitic	Designated/Withdrawn	1984-10-17
ACTOXUHEUCPTEW-CEUOBAOPSA-N	PUBCHEM.COMPOUND:5289394	UMLS:C0021051	Spiramycin	Immunodeficiency	Designated/Withdrawn	1984-10-17
ACTOXUHEUCPTEW-FCCRBRQASA-N	PUBCHEM.COMPOUND:134687906	UMLS:C0021051	Spiramycin	Immunodeficiency	Designated/Withdrawn	1984-10-17
ACTOXUHEUCPTEW-FCCRBRQASA-N	PUBCHEM.COMPOUND:134687906	UMLS:C0239055	Spiramycin	CHRONIC CRYPTOSPORIDIOSIS	Designated/Withdrawn	1984-10-17
ACTOXUHEUCPTEW-FCCRBRQASA-N	PUBCHEM.COMPOUND:134687906	UMLS:C0030498	Spiramycin	parasitic	Designated/Withdrawn	1984-10-17
ACTOXUHEUCPTEW-GRWVDKKHSA-N	PUBCHEM.COMPOUND:5353959	UMLS:C0239055	Spiramycin	CHRONIC CRYPTOSPORIDIOSIS	Designated/Withdrawn	1984-10-17
ACTOXUHEUCPTEW-GRWVDKKHSA-N	PUBCHEM.COMPOUND:5353959	UMLS:C0030498	Spiramycin	parasitic	Designated/Withdrawn	1984-10-17
ACTOXUHEUCPTEW-GRWVDKKHSA-N	PUBCHEM.COMPOUND:5353959	UMLS:C0021051	Spiramycin	Immunodeficiency	Designated/Withdrawn	1984-10-17
ACTOXUHEUCPTEW-HRAVRIHDSA-N	PUBCHEM.COMPOUND:44629935	UMLS:C0239055	Spiramycin	CHRONIC CRYPTOSPORIDIOSIS	Designated/Withdrawn	1984-10-17
ACTOXUHEUCPTEW-HRAVRIHDSA-N	PUBCHEM.COMPOUND:44629935	UMLS:C0021051	Spiramycin	Immunodeficiency	Designated/Withdrawn	1984-10-17
ACTOXUHEUCPTEW-HRAVRIHDSA-N	PUBCHEM.COMPOUND:44629935	UMLS:C0030498	Spiramycin	parasitic	Designated/Withdrawn	1984-10-17
ACTOXUHEUCPTEW-IMDCDJEBSA-N	PUBCHEM.COMPOUND:76324338	UMLS:C0239055	Spiramycin	CHRONIC CRYPTOSPORIDIOSIS	Designated/Withdrawn	1984-10-17
ACTOXUHEUCPTEW-IMDCDJEBSA-N	PUBCHEM.COMPOUND:76324338	UMLS:C0021051	Spiramycin	Immunodeficiency	Designated/Withdrawn	1984-10-17
ACTOXUHEUCPTEW-IMDCDJEBSA-N	PUBCHEM.COMPOUND:76324338	UMLS:C0030498	Spiramycin	parasitic	Designated/Withdrawn	1984-10-17
ACTOXUHEUCPTEW-IWJSIHOMSA-N	PUBCHEM.COMPOUND:153274329	UMLS:C0021051	Spiramycin	Immunodeficiency	Designated/Withdrawn	1984-10-17
ACTOXUHEUCPTEW-IWJSIHOMSA-N	PUBCHEM.COMPOUND:153274329	UMLS:C0030498	Spiramycin	parasitic	Designated/Withdrawn	1984-10-17
ACTOXUHEUCPTEW-IWJSIHOMSA-N	PUBCHEM.COMPOUND:153274329	UMLS:C0239055	Spiramycin	CHRONIC CRYPTOSPORIDIOSIS	Designated/Withdrawn	1984-10-17
ACTOXUHEUCPTEW-JMRHEKERSA-N	PUBCHEM.COMPOUND:6419898	UMLS:C0021051	Spiramycin	Immunodeficiency	Designated/Withdrawn	1984-10-17
ACTOXUHEUCPTEW-JMRHEKERSA-N	PUBCHEM.COMPOUND:6419898	UMLS:C0030498	Spiramycin	parasitic	Designated/Withdrawn	1984-10-17
ACTOXUHEUCPTEW-JMRHEKERSA-N	PUBCHEM.COMPOUND:6419898	UMLS:C0239055	Spiramycin	CHRONIC CRYPTOSPORIDIOSIS	Designated/Withdrawn	1984-10-17
ACTOXUHEUCPTEW-JNQYENBPSA-N	PUBCHEM.COMPOUND:71729958	UMLS:C0239055	Spiramycin	CHRONIC CRYPTOSPORIDIOSIS	Designated/Withdrawn	1984-10-17
ACTOXUHEUCPTEW-JNQYENBPSA-N	PUBCHEM.COMPOUND:71729958	UMLS:C0030498	Spiramycin	parasitic	Designated/Withdrawn	1984-10-17
ACTOXUHEUCPTEW-JNQYENBPSA-N	PUBCHEM.COMPOUND:71729958	UMLS:C0021051	Spiramycin	Immunodeficiency	Designated/Withdrawn	1984-10-17
ACTOXUHEUCPTEW-KWBWCIJSSA-N	PUBCHEM.COMPOUND:6440717	UMLS:C0239055	Spiramycin	CHRONIC CRYPTOSPORIDIOSIS	Designated/Withdrawn	1984-10-17
ACTOXUHEUCPTEW-KWBWCIJSSA-N	PUBCHEM.COMPOUND:6440717	UMLS:C0030498	Spiramycin	parasitic	Designated/Withdrawn	1984-10-17
ACTOXUHEUCPTEW-KWBWCIJSSA-N	PUBCHEM.COMPOUND:6440717	UMLS:C0021051	Spiramycin	Immunodeficiency	Designated/Withdrawn	1984-10-17
ACTOXUHEUCPTEW-LFIIGWMYSA-N	PUBCHEM.COMPOUND:134715567	UMLS:C0021051	Spiramycin	Immunodeficiency	Designated/Withdrawn	1984-10-17
ACTOXUHEUCPTEW-LFIIGWMYSA-N	PUBCHEM.COMPOUND:134715567	UMLS:C0239055	Spiramycin	CHRONIC CRYPTOSPORIDIOSIS	Designated/Withdrawn	1984-10-17
ACTOXUHEUCPTEW-LFIIGWMYSA-N	PUBCHEM.COMPOUND:134715567	UMLS:C0030498	Spiramycin	parasitic	Designated/Withdrawn	1984-10-17
ACTOXUHEUCPTEW-NHYPZVJXSA-N	PUBCHEM.COMPOUND:134717663	UMLS:C0030498	Spiramycin	parasitic	Designated/Withdrawn	1984-10-17
ACTOXUHEUCPTEW-NHYPZVJXSA-N	PUBCHEM.COMPOUND:134717663	UMLS:C0239055	Spiramycin	CHRONIC CRYPTOSPORIDIOSIS	Designated/Withdrawn	1984-10-17
ACTOXUHEUCPTEW-NHYPZVJXSA-N	PUBCHEM.COMPOUND:134717663	UMLS:C0021051	Spiramycin	Immunodeficiency	Designated/Withdrawn	1984-10-17
ACTOXUHEUCPTEW-OBURPCBNSA-N	PUBCHEM.COMPOUND:5356392	UMLS:C0239055	Spiramycin	CHRONIC CRYPTOSPORIDIOSIS	Designated/Withdrawn	1984-10-17
ACTOXUHEUCPTEW-OBURPCBNSA-N	PUBCHEM.COMPOUND:5356392	UMLS:C0030498	Spiramycin	parasitic	Designated/Withdrawn	1984-10-17
ACTOXUHEUCPTEW-OBURPCBNSA-N	PUBCHEM.COMPOUND:5356392	UMLS:C0021051	Spiramycin	Immunodeficiency	Designated/Withdrawn	1984-10-17
ACTOXUHEUCPTEW-OSLILNPBSA-N	PUBCHEM.COMPOUND:137704528	UMLS:C0239055	Spiramycin	CHRONIC CRYPTOSPORIDIOSIS	Designated/Withdrawn	1984-10-17
ACTOXUHEUCPTEW-OSLILNPBSA-N	PUBCHEM.COMPOUND:137704528	UMLS:C0021051	Spiramycin	Immunodeficiency	Designated/Withdrawn	1984-10-17
ACTOXUHEUCPTEW-OSLILNPBSA-N	PUBCHEM.COMPOUND:137704528	UMLS:C0030498	Spiramycin	parasitic	Designated/Withdrawn	1984-10-17
ACTOXUHEUCPTEW-QTKFNTAMSA-N	PUBCHEM.COMPOUND:135391165	UMLS:C0239055	Spiramycin	CHRONIC CRYPTOSPORIDIOSIS	Designated/Withdrawn	1984-10-17
ACTOXUHEUCPTEW-QTKFNTAMSA-N	PUBCHEM.COMPOUND:135391165	UMLS:C0021051	Spiramycin	Immunodeficiency	Designated/Withdrawn	1984-10-17
ACTOXUHEUCPTEW-QTKFNTAMSA-N	PUBCHEM.COMPOUND:135391165	UMLS:C0030498	Spiramycin	parasitic	Designated/Withdrawn	1984-10-17
ACTOXUHEUCPTEW-SENNIVHBSA-N	PUBCHEM.COMPOUND:129627802	UMLS:C0021051	Spiramycin	Immunodeficiency	Designated/Withdrawn	1984-10-17
ACTOXUHEUCPTEW-SENNIVHBSA-N	PUBCHEM.COMPOUND:129627802	UMLS:C0239055	Spiramycin	CHRONIC CRYPTOSPORIDIOSIS	Designated/Withdrawn	1984-10-17
ACTOXUHEUCPTEW-SENNIVHBSA-N	PUBCHEM.COMPOUND:129627802	UMLS:C0030498	Spiramycin	parasitic	Designated/Withdrawn	1984-10-17
ACTOXUHEUCPTEW-UHFFFAOYSA-N	PUBCHEM.COMPOUND:5266	UMLS:C0021051	Spiramycin	Immunodeficiency	Designated/Withdrawn	1984-10-17
ACTOXUHEUCPTEW-UHFFFAOYSA-N	PUBCHEM.COMPOUND:5266	UMLS:C0239055	Spiramycin	CHRONIC CRYPTOSPORIDIOSIS	Designated/Withdrawn	1984-10-17
ACTOXUHEUCPTEW-UHFFFAOYSA-N	PUBCHEM.COMPOUND:5266	UMLS:C0030498	Spiramycin	parasitic	Designated/Withdrawn	1984-10-17
ACTOXUHEUCPTEW-VRCNPYAISA-N	PUBCHEM.COMPOUND:131674879	UMLS:C0030498	Spiramycin	parasitic	Designated/Withdrawn	1984-10-17
ACTOXUHEUCPTEW-VRCNPYAISA-N	PUBCHEM.COMPOUND:131674879	UMLS:C0239055	Spiramycin	CHRONIC CRYPTOSPORIDIOSIS	Designated/Withdrawn	1984-10-17
ACTOXUHEUCPTEW-VRCNPYAISA-N	PUBCHEM.COMPOUND:131674879	UMLS:C0021051	Spiramycin	Immunodeficiency	Designated/Withdrawn	1984-10-17
ACTRVOBWPAIOHC-XIXRPRMCSA-N	PUBCHEM.COMPOUND:2724354	UMLS:C0010691	Succimer	Cystinuria	Designated	1990-11-05
ACTRVOBWPAIOHC-XIXRPRMCSA-N	PUBCHEM.COMPOUND:2724354	UMLS:C0149921	Succimer	lead poisoning in children	Designated/Approved	1984-05-09
ACTRVOBWPAIOHC-XIXRPRMCSA-N	PUBCHEM.COMPOUND:2724354	UMLS:C0728899	Succimer	Intoxication	Designated	1991-03-22
ACTRVOBWPAIOHC-XIXRPRMCSA-N	PUBCHEM.COMPOUND:2724354	UMLS:C0022650	Succimer	KIDNEY STONE	Designated	1990-11-05
ACWZRVQXLIRSDF-UHFFFAOYSA-N	PUBCHEM.COMPOUND:10288191	UMLS:C0025202	binimetinib	melanoma	Designated	2013-11-19
ACWZRVQXLIRSDF-UHFFFAOYSA-N	PUBCHEM.COMPOUND:10288191	UMLS:C4721610	binimetinib	Ovarian Cancer	Designated	2014-07-31
AEQFSUDEHCCHBT-UHFFFAOYSA-M	PUBCHEM.COMPOUND:16760703	UMLS:C0043207	sodium valproate	Wolfram Syndrome	Designated	2015-08-05
AEQFSUDEHCCHBT-UHFFFAOYSA-M	PUBCHEM.COMPOUND:16760703	UMLS:C3203102	sodium valproate	PULMONARY ARTERIAL HYPERTENSION	Designated	2020-03-09
AEQFSUDEHCCHBT-UHFFFAOYSA-M	PUBCHEM.COMPOUND:16760703	UMLS:C0016667	Valproate	Fragile X Syndrome	Designated	2008-05-05
AFCGFAGUEYAMAO-UHFFFAOYSA-N	PUBCHEM.COMPOUND:71158	UMLS:C0016667	acamprosate	Fragile X Syndrome	Designated	2013-03-25
AFLFKFHDSCQHOL-IZZDOVSWSA-N	PUBCHEM.COMPOUND:9864881	UMLS:C0008312	elafibranor	Primary Biliary Cholangitis	Designated	2019-07-25
AHMIRVCNZZUANP-LPBAWZRYSA-N	PUBCHEM.COMPOUND:91668177	UMLS:C0520799	rusalatide acetate	Acute Radiation Syndrome	Designated	2017-09-07
AHYMHWXQRWRBKT-UHFFFAOYSA-N	PUBCHEM.COMPOUND:25171648	UMLS:C3539721	tepotinib	Non-Small Cell Lung Cancer	Designated/Approved	2020-10-26
AHYMHWXQRWRBKT-UHFFFAOYSA-N	PUBCHEM.COMPOUND:25171648	UMLS:C0027651	tepotinib	Tumor	Designated/Approved	2020-10-26
AILRADAXUVEEIR-UHFFFAOYSA-N	PUBCHEM.COMPOUND:68165256	UMLS:C3539721	brigatinib	Non-Small Cell Lung Cancer	Designated/Approved	2016-04-28
AILRADAXUVEEIR-UHFFFAOYSA-N	PUBCHEM.COMPOUND:68165256	UMLS:C3539721	brigatinib	Non-Small Cell Lung Cancer	Designated/Approved	2016-04-28
AINQERPKMNDVQT-UHFFFAOYSA-N	PUBCHEM.COMPOUND:135565128	UMLS:C0206698	fimaporfin	Cholangiocarcinoma	Designated	2017-09-27
AJFWITSBVLLDCC-UHFFFAOYSA-N	PUBCHEM.COMPOUND:91820639	UMLS:C1325653	2-isopropyl-3H-naphtho[1,2-d]imidazole-4,5-dione	mitochondrial respiratory chain	Designated	2018-04-16
AJFWITSBVLLDCC-UHFFFAOYSA-N	PUBCHEM.COMPOUND:91820639	UMLS:C0012634	2-isopropyl-3H-naphtho[1,2-d]imidazole-4,5-dione	Disease	Designated	2018-04-16
AJIPIJNNOJSSQC-NYLIRDPKSA-N	PUBCHEM.COMPOUND:27125	UMLS:C3898147	estetrol	Neonatal Hypoxic Ischemic Encephalopathy	Designated	2019-03-28
AJKIRUJIDFJUKJ-UHFFFAOYSA-N	PUBCHEM.COMPOUND:29566	UMLS:C0235974	taurolidine	PANCREATIC CANCER	Designated	2016-05-16
AJKIRUJIDFJUKJ-UHFFFAOYSA-N	PUBCHEM.COMPOUND:29566	UMLS:C0027819	taurolidine	Neuroblastoma	Designated	2018-02-22
AKFJWRDCWYYTIG-ZDUSSCGKSA-N	PUBCHEM.COMPOUND:9884642	UMLS:C0013264	naproxcinod	DUCHENNE MUSCULAR DYSTROPHY	Designated	2015-03-16
AKHNMLFCWUSKQB-UHFFFAOYSA-L	PUBCHEM.COMPOUND:24477	UMLS:C0235280	sodium thiosulfate	Ototoxicity	Designated	2011-10-13
AKHNMLFCWUSKQB-UHFFFAOYSA-L	PUBCHEM.COMPOUND:24477	UMLS:C0015376	sodium thiosulfate	Extravasation	Designated	2010-12-02
AKHNMLFCWUSKQB-UHFFFAOYSA-L	PUBCHEM.COMPOUND:24477	UMLS:C0011633	sodium thiosulfate	Dermatomyositis	Designated	2014-10-28
AKHNMLFCWUSKQB-UHFFFAOYSA-L	PUBCHEM.COMPOUND:24477	UMLS:C0235280	Sodium thiosulfate	Ototoxicity	Designated	2004-03-17
AKHNMLFCWUSKQB-UHFFFAOYSA-L	PUBCHEM.COMPOUND:24477	UMLS:C0006666	sodium thiosulfate	Calciphylaxis	Designated	2011-11-09
AKHNMLFCWUSKQB-UHFFFAOYSA-L	PUBCHEM.COMPOUND:24477	UMLS:C0006666	sodium thiosulfate	Calciphylaxis	Designated	2012-11-19
AKHNMLFCWUSKQB-UHFFFAOYSA-L	PUBCHEM.COMPOUND:24477	UMLS:C0006666	Sodium Thiosulfate	Calciphylaxis	Designated	2012-02-16
AKJHMTWEGVYYSE-FXILSDISSA-N	PUBCHEM.COMPOUND:5288209	UMLS:C3714514	Fenretinide	Infections	Designated	2010-04-07
AKJHMTWEGVYYSE-FXILSDISSA-N	PUBCHEM.COMPOUND:5288209	UMLS:C0033809	Fenretinide	Pseudomonas aeruginosa	Designated	2010-04-07
AKJHMTWEGVYYSE-FXILSDISSA-N	PUBCHEM.COMPOUND:5288209	UMLS:C0010674	Fenretinide	Cystic Fibrosis	Designated	2010-04-07
AKJHMTWEGVYYSE-FXILSDISSA-N	PUBCHEM.COMPOUND:5288209	UMLS:C0079773	fenretinide	cutaneous T-cell lymphoma	Designated	2017-12-19
AKJHMTWEGVYYSE-FXILSDISSA-N	PUBCHEM.COMPOUND:5288209	UMLS:C0079774	fenretinide	Peripheral T-Cell Lymphoma	Designated	2013-09-04
AKJHMTWEGVYYSE-FXILSDISSA-N	PUBCHEM.COMPOUND:5288209	UMLS:C0027819	Fenretinide	Neuroblastoma	Designated	2005-10-05
AKJHMTWEGVYYSE-FXILSDISSA-N	PUBCHEM.COMPOUND:5288209	UMLS:C2700204	fenretinide	Follicular T-cell lymphoma	Designated	2017-12-22
AKJHMTWEGVYYSE-FXILSDISSA-N	PUBCHEM.COMPOUND:5288209	UMLS:C0027651	fenretinide	Tumors	Designated/Withdrawn	2007-02-01
AKJHMTWEGVYYSE-FXILSDISSA-N	PUBCHEM.COMPOUND:5288209	UMLS:C0079774	fenretinide	Peripheral T-Cell Lymphoma	Designated	2017-12-22
AKJHMTWEGVYYSE-FXILSDISSA-N	PUBCHEM.COMPOUND:5288209	UMLS:C0079773	fenretinide	cutaneous T-cell lymphoma	Designated	2013-09-04
AKNNEGZIBPJZJG-MSOLQXFVSA-N	PUBCHEM.COMPOUND:275196	UMLS:C0002736	noscapine	Amyotrophic Lateral Sclerosis	Designated	2015-12-29
AKYHKWQPZHDOBW-DSXUQNDKSA-N	PUBCHEM.COMPOUND:11949689	UMLS:C0024530	quinine Sulfate	Malaria	Designated/Approved	2004-06-03
AKYHKWQPZHDOBW-DSXUQNDKSA-N	PUBCHEM.COMPOUND:11949689	UMLS:C0024530	quinine sulfate	Malaria	Designated	2008-12-02
ALEXXDVDDISNDU-JZYPGELDSA-N	PUBCHEM.COMPOUND:5744	UMLS:C2931173	hydrocortisone acetate	Pediatric ulcerative colitis	Designated	2017-06-27
ALHBJBCQLJZYON-PFSRBDOWSA-N	PUBCHEM.COMPOUND:71543365	UMLS:C0023467	iadademstat	Acute myeloid leukemia	Designated	2021-02-10
ALWKGYPQUAPLQC-UHFFFAOYSA-N	PUBCHEM.COMPOUND:4456	UMLS:C0009377	neostigmine	Colonic Pseudo-Obstruction	Designated	2013-03-18
AMHZIUVRYRVYBA-UHFFFAOYSA-N	PUBCHEM.COMPOUND:2896	UMLS:C1845862	cyclocreatine	Creatine transporter deficiency	Designated	2012-06-18
AMLYAMJWYAIXIA-VWNVYAMZSA-N	PUBCHEM.COMPOUND:176873	UMLS:C0555198	cilengitide	Malignant Glioma	Designated/Withdrawn	2005-05-27
AMNXBQPRODZJQR-DITALETJSA-N	PUBCHEM.COMPOUND:5745206	UMLS:C0020445	Implitapide	FAMILIAL HYPERCHOLESTEROLEMIA	Designated/Withdrawn	2004-08-13
AMNXBQPRODZJQR-DITALETJSA-N	PUBCHEM.COMPOUND:5745206	UMLS:C0023817	Implitapide	Fredrickson type I or V hyperlipoproteinemia	Designated/Withdrawn	2004-08-19
ANIAZGVDEUQPRI-ZJQCGQFWSA-N	PUBCHEM.COMPOUND:71511839	UMLS:C0020502	etelcalcetide	Hyperparathyroidism	Designated	2017-05-31
AOJJSUZBOXZQNB-TZSSRYMLSA-N	PUBCHEM.COMPOUND:31703	UMLS:C2239176	doxorubicin	HEPATOCELLULAR CARCINOMA	Designated	2009-08-25
AOJJSUZBOXZQNB-TZSSRYMLSA-N	PUBCHEM.COMPOUND:31703	UMLS:C0079773	doxorubicin	cutaneous T-cell lymphoma	Designated	2015-04-06
AOJJSUZBOXZQNB-VTZDEGQISA-N	PUBCHEM.COMPOUND:41867	UMLS:C0678222	Epirubicin	Breast cancer	Designated/Approved	1999-09-14
APFMVAHRFWBCDG-JUOYHRLASA-N	PUBCHEM.COMPOUND:170317	UMLS:C0040517	ecopipam hydrochloride	Tourette's Syndrome	Designated	2010-09-29
APFMVAHRFWBCDG-JUOYHRLASA-N	PUBCHEM.COMPOUND:170317	UMLS:C0023374	ecopipam hydrochloride	Lesch-Nyhan Disease	Designated	2009-07-21
APKFDSVGJQXUKY-INPOYWNPSA-N	PUBCHEM.COMPOUND:5280965	UMLS:C0019655	Liposomal amphotericin B	Histoplasmosis	Designated	1996-12-10
APKFDSVGJQXUKY-INPOYWNPSA-N	PUBCHEM.COMPOUND:5280965	UMLS:C0023290	Liposomal amphotericin B	Visceral leishmaniasis	Designated/Approved	1996-12-06
APKFDSVGJQXUKY-INPOYWNPSA-N	PUBCHEM.COMPOUND:5280965	UMLS:C0085436	Liposomal amphotericin B	Cryptococcal meningitis	Designated/Approved	1996-12-10
APKFDSVGJQXUKY-INPOYWNPSA-N	PUBCHEM.COMPOUND:5280965	UMLS:C0023290	amphotericin B	Visceral leishmaniasis	Designated	2010-09-15
APKFDSVGJQXUKY-INPOYWNPSA-N	PUBCHEM.COMPOUND:5280965	UMLS:C0023290	amphotericin B	Visceral leishmaniasis	Designated	2010-09-15
APKFDSVGJQXUKY-VTPNKFOWSA-N	PUBCHEM.COMPOUND:118705500	UMLS:C0043541	Amphotericin B lipid complex	Zygomycosis	Designated/Withdrawn	1996-05-06
APKFDSVGJQXUKY-VTPNKFOWSA-N	PUBCHEM.COMPOUND:118705500	UMLS:C0033735	Amphotericin B lipid complex	Protothecosis	Designated/Withdrawn	1996-08-21
APKFDSVGJQXUKY-VTPNKFOWSA-N	PUBCHEM.COMPOUND:118705500	UMLS:C0038034	Amphotericin B lipid complex	Sporotrichosis	Designated/Withdrawn	1996-09-23
APKFDSVGJQXUKY-VTPNKFOWSA-N	PUBCHEM.COMPOUND:118705500	UMLS:C0009186	Amphotericin B lipid complex	Coccidioidomycosis	Designated/Withdrawn	1996-05-06
APKFDSVGJQXUKY-VTPNKFOWSA-N	PUBCHEM.COMPOUND:118705500	UMLS:C1262313	Amphotericin B lipid complex	Invasive Fungal Infections	Designated/Approved	1991-12-05
APKFDSVGJQXUKY-VTPNKFOWSA-N	PUBCHEM.COMPOUND:118705500	UMLS:C1609535	Amphotericin B lipid complex	Invasive Candidiasis	Designated/Withdrawn	1996-06-27
AQHHHDLHHXJYJD-UHFFFAOYSA-N	PUBCHEM.COMPOUND:4946	UMLS:C0018916	propranolol	Hemangiomas	Designated/Approved	2008-09-05
AQHHHDLHHXJYJD-UHFFFAOYSA-N	PUBCHEM.COMPOUND:4946	UMLS:C0035344	Propranolol	Retinopathy of Prematurity	Designated	2019-08-23
ARFHIAQFJWUCFH-IZZDOVSWSA-N	PUBCHEM.COMPOUND:6842999	UMLS:C0041234	nifurtimox	Chagas Disease	Designated	2013-12-31
ARFHIAQFJWUCFH-IZZDOVSWSA-N	PUBCHEM.COMPOUND:6842999	UMLS:C0041234	nifurtimox	Chagas Disease	Designated/Approved	2010-08-05
ARIWANIATODDMH-UHFFFAOYSA-N	PUBCHEM.COMPOUND:14871	UMLS:C0020757	Monolaurin	Ichthyosis	Designated	1993-04-29
ARQUTWAXTHJROR-UHFFFAOYSA-N	PUBCHEM.COMPOUND:18435899	UMLS:C0555198	crenolanib besylate	Malignant Glioma	Designated	2010-12-20
ARUVKPQLZAKDPS-UHFFFAOYSA-L	PUBCHEM.COMPOUND:24462	UMLS:C0022578	copper sulfate	Keratoconus	Designated	2017-10-26
ASKZRYGFUPSJPN-UHFFFAOYSA-N	PUBCHEM.COMPOUND:118513932	UMLS:C0026847	risdiplam	Spinal Muscular Atrophy	Designated/Approved	2017-01-04
AUBOIOCYVHATDV-QYLLOTSKSA-N	PUBCHEM.COMPOUND:134693628	UMLS:C3714796	pralmorelin hydrochloride	Growth hormone deficiency	Designated	2012-10-18
AUFUWRKPQLGTGF-FMKGYKFTSA-N	PUBCHEM.COMPOUND:20058	UMLS:C0268130	uridine triacetate	OROTIC ACIDURIA	Designated/Approved	2013-08-09
